Filename, I(P), I(P)+, I(P)-, k, Iter, Local time(s), Global time(s), Params, Total Iter, Total Comb
Manning_Shofner_Brusco.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 13, 1, 0.1992, 0.19941, CC-Node0-l2a0.8-iterations.csv, 1, 39216
McKinne.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 12, 1, 0.3163, 0.316484, CC-Node0-l2a0.8-iterations.csv, 1, 65512
MediatorN1.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 3, 1, 0.0035, 0.00368186, CC-Node0-l2a0.8-iterations.csv, 1, 1057
MediatorN1_Modif.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 4, 1, 0.006, 0.00620056, CC-Node0-l2a0.8-iterations.csv, 1, 1712
MediatorN1_Modif2.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 7, 1, 0.0179, 0.0181237, CC-Node0-l2a0.8-iterations.csv, 1, 4593
MediatorP1.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 9, 1, 0.0346, 0.0347469, CC-Node0-l2a0.8-iterations.csv, 1, 7340
MonkT2.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 10, 1, 0.0851, 0.0852854, CC-Node0-l2a0.8-iterations.csv, 1, 17645
MonkT3.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 7, 1, 0.0366, 0.0368235, CC-Node0-l2a0.8-iterations.csv, 1, 9113
MonkT4.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 13, 1, 0.1467, 0.146898, CC-Node0-l2a0.8-iterations.csv, 1, 28675
MonkT4Sum.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 9, 1, 0.0653, 0.0655538, CC-Node0-l2a0.8-iterations.csv, 1, 14359
NewComb.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 11, 1, 0.0912, 0.0913885, CC-Node0-l2a0.8-iterations.csv, 1, 18603
ha_sum.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 64.0, 45.0, 19.0, 4, 2, 0.0546, 9.71631, CC-Node0-l2a0.8-iterations.csv, 403, 2535174
haddate.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 17.0, 15.0, 2.0, 5, 8, 0.2321, 13.4452, CC-Node0-l2a0.8-iterations.csv, 409, 3451789
hafriend.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 15.0, 15.0, 0.0, 5, 7, 0.188, 10.6226, CC-Node0-l2a0.8-iterations.csv, 408, 2834814
haroommate.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 13.0, 13.0, 0.0, 5, 1, 0.0265, 10.0707, CC-Node0-l2a0.8-iterations.csv, 402, 2685294
haweekend.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 14.0, 14.0, 0.0, 5, 6, 0.2097, 13.0404, CC-Node0-l2a0.8-iterations.csv, 407, 3383477
hb_sum.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 81.0, 61.0, 20.0, 4, 3, 0.0497, 6.47161, CC-Node0-l2a0.8-iterations.csv, 404, 1685139
hbddate.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 18.0, 17.0, 1.0, 4, 4, 0.0701, 7.03301, CC-Node0-l2a0.8-iterations.csv, 405, 1875296
hbfriend.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 18.0, 17.0, 1.0, 4, 42, 0.869, 9.36324, CC-Node0-l2a0.8-iterations.csv, 443, 2388901
hbroommate.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 17.0, 14.0, 3.0, 4, 6, 0.0974, 7.27397, CC-Node0-l2a0.8-iterations.csv, 407, 1923486
hbweekend.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 19.0, 18.0, 1.0, 4, 1, 0.0119, 7.74186, CC-Node0-l2a0.8-iterations.csv, 402, 2049175
hc_sum.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 58.0, 51.0, 7.0, 4, 1, 0.0172, 6.24565, CC-Node0-l2a0.8-iterations.csv, 402, 1640560
hcddate.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 13.0, 12.0, 1.0, 4, 2, 0.0351, 7.35719, CC-Node0-l2a0.8-iterations.csv, 403, 1957496
hcfriend.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 13.0, 12.0, 1.0, 4, 3, 0.0654, 8.21993, CC-Node0-l2a0.8-iterations.csv, 404, 2203653
hcroommate.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 17.0, 12.0, 5.0, 3, 61, 1.4666, 11.5717, CC-Node0-l2a0.8-iterations.csv, 462, 3041923
hcweekend.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 13.0, 11.0, 2.0, 3, 13, 0.2048, 7.17838, CC-Node0-l2a0.8-iterations.csv, 414, 1930791
sample2.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 6, 1, 0.0, 1.42603, CC-Node0-l2a0.8-iterations.csv, 402, 379241
sample66N.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 2, 1, 0.0, 1.74822, CC-Node0-l2a0.8-iterations.csv, 402, 470264
sample9.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 5, 1, 0.0079, 0.00812855, CC-Node0-l2a0.8-iterations.csv, 1, 2132
