Global time spent: 201.402
I(P) = 166.996
Clustering configuration: 
 Partition 0 (255): [ 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 ] 
 Partition 1 (1): [ 170 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,0,0
2,0,0.7603
3,0,2.7159
4,0,0
5,0,0
6,0,0
7,0,3.6061
8,0,0.9711
9,0,0
10,0,0
11,0,0.8987
12,0,1.3626
13,0,0.965
14,0,0
15,0,2.0135
16,0,0.7897
17,0,0.9675
18,0.9244,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0.9829
26,0,1.5078
27,0,0
28,0,4.9077
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,2.0466
36,0,3.1428
37,0,0
38,0,0
39,0,0
40,0,0
41,0,1.7171
42,0,0
43,0,0
44,0,0
45,0,2.0816
46,0,0
47,0,0
48,0,0
49,0,0
50,0,2.0717
51,0,0
52,0,1.8245
53,0,0
54,0,0
55,0,4.2509
56,0,0
57,0,1.8705
58,0,3.2592
59,0,0.0714
60,0.1097,0
61,0,1.0397
62,0,0
63,0,2.8182
64,0,0.7329
65,0,3.1951
66,0,0
67,0,0
68,0,0.8561
69,0,0
70,0.3381,0
71,0,0.9864
72,0,2.0633
73,0,3.0086
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,2.0035
80,0,0
81,0,0
82,0,0.2903
83,0,0
84,0,0
85,0.2364,0.8603
86,0,0.5949
87,0,0
88,0,0
89,0,1.2196
90,0,0
91,0,0
92,0,0
93,0,0
94,0,2.3212
95,0,2.6274
96,0,2.7949
97,0,1.5033
98,0,0
99,0,0
100,0,0
101,0,0
102,0,3.514
103,0,1.6724
104,0,0
105,0,0
106,0,3.6606
107,0,0
108,0,4.7147
109,0,0
110,0,2.5701
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,3.7636
117,0,0
118,0,0
119,0,0.3452
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,3.7944
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,1.1485
141,0,0.9937
142,0,0.6214
143,0,0
144,0,3.4794
145,0,0
146,0.6365,0
147,0,0
148,0,0
149,0,4.5504
150,0,0
151,0,0
152,0,0.8199
153,0,0
154,0,0.2838
155,0,0
156,0,0
157,0,0
158,0,0.7997
159,0,0.7843
160,0,0
161,0,0
162,0,1.6352
163,0,0
164,0,2.7084
165,0,0
166,0,0
167,0,2.366
168,0,0
169,0,1.7155
170,1.7274,0
171,0.7196,0
172,0,0
173,0,5.0438
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,2.5876
182,0,0.5861
183,0,0
184,0,0.6739
185,0,0.6318
186,0,2.0774
187,0,0
188,0,1.0837
189,0,0
190,0,0
191,0,0.7965
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0.5986,0
203,0,0
204,0,0
205,0.0578,1.1308
206,0,0.1901
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,2.2798
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0.2553,0
225,0,0
226,0,2.5064
227,0,0
228,0,0
229,0,0
230,0,2.8005
231,0,2.1919
232,0,0
233,0,3.291
234,0,0
235,0,0
236,0,0
237,0,1.4059
238,0,0
239,0,0
240,0,0.6283
241,0,0.2496
242,0,2.5006
243,0,4.0861
244,0,0
245,0.9249,0
246,0,0
247,0,1.2052
248,0,0
249,0,0
250,0,2.8782
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,1.1598
1,0,0
2,0,0.4377
3,0,0
4,0.8909,1.6594
5,0,0
6,0,1.403
7,0,0.6943
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,1.2089
18,0,0.3781
19,0,0.6172
20,0,1.5156
21,0,2.1679
22,0,0
23,0,1.2432
24,0,0.9711
25,0.1572,0
26,0,0.7376
27,0,0
28,0,0.1593
29,0,0.4752
30,0,1.4381
31,0,0
32,0,1.1788
33,0,0.1283
34,0,0.7811
35,0,2.8003
36,0,3.4187
37,0,0
38,0,0
39,0,0
40,0,0.6708
41,0,0.6314
42,0,0.5364
43,0,0
44,0,0.8664
45,0,2.2185
46,0,0.1901
47,0,2.5709
48,0,1.4479
49,0,0
50,0,0
51,0,0.3889
52,0,0.6321
53,0,0.6935
54,0,1.71
55,0,1.5993
56,0,0.8407
57,0,0.2535
58,0,0
59,0,0
60,0,0.3452
61,0,0
62,0,0
63,0,0.8827
64,0,0
65,0,0.7445
66,0,0
67,0.0945,0
68,0,0
69,0,1.4095
70,0,1.3234
71,0,0.5949
72,0,0.3254
73,0,0
74,0,0
75,0,0
76,0,2.3502
77,0,0
78,0,0
79,0,1.4246
80,0,0
81,0,0
82,0,0.1078
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,2.1738
89,0,1.3906
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0.5747
97,0,1.0211
98,0,0.8812
99,0,0.3325
100,0,0
101,0,0.7783
102,0,0.295
103,0,1.7362
104,0,0
105,0,0
106,0,1.4788
107,0,0.8657
108,0,0.9166
109,0,0.0087
110,0,1.3771
111,0,0.4241
112,0,0.8867
113,0,0.1055
114,0,0.5161
115,0,0
116,0,0
117,0,0.1721
118,0,0
119,0,0
120,0,0.9472
121,0,0
122,0,0.3787
123,0,0.0185
124,0,0.8455
125,0,0.9381
