Global time spent: 1800.14
I(P) = 242.297
Clustering configuration: 
 Partition 0 (14): [ 9 12 13 29 45 51 84 110 141 157 213 216 233 236 ] 
 Partition 1 (16): [ 0 1 5 15 44 66 76 121 140 148 161 164 179 184 191 255 ] 
 Partition 2 (10): [ 21 61 93 124 165 181 212 214 219 252 ] 
 Partition 3 (34): [ 4 7 18 19 33 40 43 50 54 59 72 79 83 91 98 106 130 132 138 155 156 166 171 201 203 204 207 225 228 229 230 246 250 254 ] 
 Partition 4 (33): [ 11 20 23 28 34 39 42 48 78 86 108 114 115 122 125 127 134 147 151 152 168 180 186 193 195 198 199 202 205 206 218 241 242 ] 
 Partition 5 (22): [ 2 31 35 41 47 52 58 67 68 85 96 136 160 172 173 176 177 187 190 224 227 239 ] 
 Partition 6 (30): [ 16 26 37 65 69 71 80 81 87 90 97 118 123 126 128 137 143 145 153 158 162 170 182 208 226 232 235 237 238 245 ] 
 Partition 7 (22): [ 8 22 55 70 92 117 129 135 142 150 154 169 196 200 211 215 217 220 221 234 243 248 ] 
 Partition 8 (12): [ 25 74 104 107 111 133 174 175 189 194 210 251 ] 
 Partition 9 (14): [ 27 30 46 49 62 63 99 112 116 119 120 146 178 183 ] 
 Partition 10 (10): [ 53 64 77 82 101 105 109 192 222 249 ] 
 Partition 11 (9): [ 10 24 32 102 131 144 188 231 247 ] 
 Partition 12 (17): [ 6 36 38 56 57 75 89 94 95 149 159 163 167 185 209 240 253 ] 
 Partition 13 (7): [ 17 60 88 103 113 139 223 ] 
 Partition 14 (5): [ 3 14 73 100 197 ] 
 Partition 15 (1): [ 244 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1.672,0
1,0.3577,0.0837
2,0.9198,0
3,0.3154,0
4,0.5402,0
5,1.4929,0
6,0,0
7,1.9125,0.3824
8,0.7615,0
9,2.2602,0.4466
10,0.0231,0
11,4.1247,0
12,0.4203,0
13,1.7658,0
14,1.2827,0
15,0,0
16,2.5845,0.6553
17,0,0
18,1.2045,0
19,1.8301,0.2198
20,2.1259,0.7325
21,0.8835,0
22,0.0321,0
23,0.5885,0.873
24,2.1104,0
25,0.0146,0
26,0,0.2489
27,0,0
28,0.3206,0
29,1.393,0
30,0.2385,0
31,0.3076,0
32,1.7832,0
33,0.6183,0.0643
34,3.2987,0
35,1.8124,0
36,0.0076,0
37,2.1567,0
38,1.4897,0
39,0.8269,0.4112
40,0.2522,1.0243
41,0.9949,0
42,0.6416,0.0659
43,0.0723,0.3064
44,0.628,0
45,0,0
46,1.3415,0
47,0,0
48,2.322,0
49,0,0
50,2.3426,0.0824
51,0.5413,0
52,0.9676,0.2493
53,0.5058,0
54,0.1039,0
55,0.8303,0
56,1.9645,0
57,0,0
58,1.68,0
59,1.4399,1.1954
60,0.5558,0
61,0,0
62,2.1779,0
63,1.8841,0.0857
64,0.332,0
65,0,0.37
66,0.0579,0
67,1.5662,0
68,0.8275,0.5448
69,0.8517,0
70,1.9993,0.4188
71,0.7861,0
72,0.6716,0
73,0.7876,0
74,1.2478,0
75,0.2128,0
76,0.3901,0
77,0.9903,0
78,0.9777,0
79,1.169,0.3046
80,0.7509,0
81,0.9095,0.4235
82,0,0
83,2.8742,0
84,1.8108,0.1089
85,0.2695,0
86,0.2118,0.3019
87,0.7922,0
88,0.0541,0
89,0.6525,0
90,0.3486,0.3404
91,1.3563,0
92,2.0397,0
93,0,0
94,0,0
95,0.2719,0
96,0.4781,0
97,0,0.5681
98,1.4923,0
99,0.5222,0
100,0,0
101,0.2,0
102,0,0
103,0,0
104,0,0
105,0,0
106,1.4419,0.1477
