Global time spent: 4.59032
I(P) = 74
Clustering configuration: 
 Partition 0 (22): [ 0 10 11 17 25 26 27 29 32 42 45 51 52 53 57 61 62 64 82 89 90 97 ] 
 Partition 1 (24): [ 2 5 6 9 13 18 20 43 47 50 58 59 65 66 69 71 76 78 80 81 84 94 98 99 ] 
 Partition 2 (17): [ 3 8 12 16 23 31 33 36 44 49 56 75 79 83 85 92 93 ] 
 Partition 3 (12): [ 7 15 19 38 39 46 55 67 72 73 74 95 ] 
 Partition 4 (12): [ 4 14 21 28 30 35 48 54 60 63 88 91 ] 
 Partition 5 (3): [ 1 40 87 ] 
 Partition 6 (2): [ 22 68 ] 
 Partition 7 (2): [ 41 70 ] 
 Partition 8 (1): [ 24 ] 
 Partition 9 (1): [ 86 ] 
 Partition 10 (1): [ 34 ] 
 Partition 11 (3): [ 37 77 96 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,0,0
2,0,0
3,1,0
4,1,0
5,2,0
6,2,0
7,0,0
8,2,0
9,1,0
10,0,0
11,1,0
12,0,0
13,1,0
14,0,0
15,1,0
16,1,0
17,0,0
18,1,0
19,1,0
20,0,0
21,0,0
22,1,0
23,0,0
24,0,0
25,0,0
26,1,0
27,0,0
28,0,0
29,0,0
30,1,0
31,3,0
32,0,0
33,1,0
34,1,0
35,0,0
36,1,0
37,1,0
38,0,0
39,1,0
40,0,0
41,0,0
42,1,0
43,0,0
44,0,0
45,3,0
46,0,0
47,1,0
48,0,0
49,2,0
50,0,0
51,1,0
52,0,0
53,1,0
54,1,0
55,0,0
56,0,0
57,1,0
58,2,1
59,1,0
60,2,0
61,1,0
62,2,1
63,1,0
64,1,0
65,2,0
66,0,0
67,0,0
68,1,0
69,0,1
70,0,0
71,1,0
72,0,0
73,2,0
74,1,0
75,0,0
76,0,1
77,0,0
78,1,1
79,0,0
80,0,0
81,2,1
82,1,0
83,1,0
84,0,0
85,0,0
86,1,0
87,1,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,2,0
96,0,0
97,1,1
98,1,1
99,0,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,0,0
2,0,0
3,1,0
4,1,0
5,2,0
6,2,0
7,0,0
8,2,0
9,1,0
10,0,0
11,1,0
12,0,0
13,1,0
14,0,0
15,1,0
16,1,0
17,0,0
18,1,0
19,1,0
20,0,0
21,0,0
22,1,0
23,0,0
24,0,0
25,0,0
26,1,0
27,0,0
28,0,0
29,0,0
30,1,0
31,3,0
32,0,0
33,1,0
34,1,0
35,0,0
36,1,0
37,1,0
38,0,0
39,1,0
40,0,0
41,0,0
42,1,0
43,0,0
44,0,0
45,3,0
46,0,0
47,1,0
48,0,0
49,2,0
50,0,0
51,1,0
52,0,0
53,1,0
54,1,0
55,0,0
56,0,0
57,1,0
58,2,1
59,1,0
60,2,0
61,1,0
62,2,1
63,1,0
64,1,0
65,2,0
66,0,0
67,0,0
68,1,0
69,0,1
70,0,0
71,1,0
72,0,0
73,2,0
74,1,0
75,0,0
76,0,1
77,0,0
78,1,1
79,0,0
80,0,0
81,2,1
82,1,0
83,1,0
84,0,0
85,0,0
86,1,0
87,1,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,2,0
96,0,0
97,1,1
98,1,1
99,0,0

Cluster contribution to imbalance analysis (cluster-cluster matrix):
2, 6, 3, 3, 2, 0, 1, 0, 0, 0, 0, 1, 
6, 6, 5, 2, 2, 0, 1, 0, 0, 1, 1, 0, 
3, 5, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 
3, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 

