Global time spent: 6.3424
I(P) = 2920
Clustering configuration: 
 Partition 0 (67): [ 1 2 6 10 13 14 17 18 20 22 25 27 28 30 31 32 34 35 44 46 47 49 54 57 64 65 66 69 75 77 78 79 82 84 88 89 90 95 98 101 103 104 107 113 118 123 124 125 126 130 140 141 143 144 150 152 158 165 167 171 172 180 181 188 193 198 199 ] 
 Partition 1 (58): [ 5 8 11 12 29 37 38 41 43 45 51 55 56 60 67 72 73 83 85 86 87 91 93 96 102 106 108 109 110 112 115 116 119 120 121 127 129 131 132 134 137 145 147 148 149 155 159 164 166 168 169 176 177 182 184 185 190 191 ] 
 Partition 2 (44): [ 3 4 7 9 16 19 21 26 33 39 40 48 50 52 53 59 61 63 68 70 71 74 80 81 97 100 105 111 114 117 146 151 154 161 162 163 173 175 178 186 187 189 194 197 ] 
 Partition 3 (25): [ 0 15 24 36 58 62 92 94 99 122 128 133 135 136 138 139 142 153 156 157 160 174 179 195 196 ] 
 Partition 4 (4): [ 23 76 170 183 ] 
 Partition 5 (1): [ 42 ] 
 Partition 6 (1): [ 192 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,17,1
1,17,2
2,8,6
3,15,3
4,14,3
5,10,3
6,11,3
7,12,3
8,12,5
9,14,1
10,8,6
11,12,3
12,14,3
13,14,1
14,9,6
15,11,0
16,17,2
17,18,0
18,10,7
19,6,2
20,8,4
21,12,1
22,16,4
23,12,0
24,13,0
25,8,6
26,13,1
27,12,4
28,12,5
29,10,1
30,12,4
31,11,2
32,12,2
33,16,0
34,5,0
35,11,3
36,14,1
37,12,4
38,15,2
39,13,2
40,11,1
41,10,3
42,12,0
43,15,2
44,11,1
45,11,2
46,12,4
47,10,5
48,14,1
49,18,1
50,18,2
51,12,3
52,11,1
53,17,3
54,15,4
55,15,3
56,11,4
57,8,8
58,10,1
59,6,1
60,9,4
61,11,0
62,17,1
63,16,1
64,13,5
65,6,2
66,9,2
67,13,2
68,17,3
69,12,2
70,9,4
71,8,1
72,13,3
73,11,3
74,14,2
75,12,7
76,18,0
77,10,4
78,12,2
79,12,3
80,13,3
81,18,5
82,13,1
83,9,4
84,12,3
85,7,2
86,9,3
87,10,4
88,11,7
89,11,6
90,13,3
91,15,4
92,13,1
93,9,1
94,10,1
95,10,4
96,20,4
97,10,2
98,12,4
99,13,1
100,7,3
101,10,8
102,8,4
103,13,3
104,14,4
105,14,0
106,10,1
107,13,1
108,15,2
109,11,5
110,15,1
111,12,3
112,15,3
113,7,3
114,18,3
115,13,2
116,12,3
117,6,2
118,10,3
119,9,3
120,14,3
121,11,3
122,19,1
123,14,4
124,11,3
125,14,4
126,9,4
127,10,0
128,12,0
129,9,5
130,8,2
131,12,6
132,7,1
133,14,1
134,8,8
135,11,1
136,12,0
137,16,2
138,19,0
139,20,2
140,12,4
141,8,6
142,16,4
143,6,3
144,14,1
145,14,2
146,7,3
147,12,3
148,13,3
149,13,4
150,7,1
151,12,3
152,7,1
153,18,1
154,6,0
155,13,2
156,10,3
157,17,1
158,12,2
159,11,2
160,10,0
161,15,2
162,12,2
163,11,1
164,14,3
165,13,5
166,7,2
167,15,3
168,17,3
169,10,4
170,14,0
171,10,2
172,9,8
173,13,1
174,16,2
175,13,1
176,7,3
177,14,3
178,12,2
179,9,0
180,13,4
181,10,3
182,15,6
183,13,0
184,10,4
185,10,4
186,10,0
187,9,3
188,9,4
189,6,5
190,11,5
191,9,1
192,17,0
193,16,2
194,5,3
195,13,1
196,20,0
197,15,1
198,9,5
199,6,6
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,17,1
1,17,2
2,8,6
3,15,3
4,14,3
5,10,3
6,11,3
7,12,3
8,12,5
9,14,1
10,8,6
11,12,3
12,14,3
13,14,1
14,9,6
15,11,0
16,17,2
17,18,0
18,10,7
19,6,2
20,8,4
21,12,1
22,16,4
23,12,0
24,13,0
25,8,6
26,13,1
27,12,4
28,12,5
29,10,1
30,12,4
31,11,2
32,12,2
33,16,0
34,5,0
35,11,3
36,14,1
37,12,4
38,15,2
39,13,2
40,11,1
41,10,3
42,12,0
43,15,2
44,11,1
45,11,2
46,12,4
47,10,5
48,14,1
49,18,1
50,18,2
51,12,3
52,11,1
53,17,3
54,15,4
55,15,3
56,11,4
57,8,8
58,10,1
59,6,1
60,9,4
61,11,0
62,17,1
63,16,1
64,13,5
65,6,2
66,9,2
67,13,2
68,17,3
69,12,2
70,9,4
71,8,1
72,13,3
73,11,3
74,14,2
75,12,7
76,18,0
77,10,4
78,12,2
79,12,3
80,13,3
81,18,5
82,13,1
83,9,4
84,12,3
85,7,2
86,9,3
87,10,4
88,11,7
89,11,6
90,13,3
91,15,4
92,13,1
93,9,1
94,10,1
95,10,4
96,20,4
97,10,2
98,12,4
99,13,1
100,7,3
101,10,8
102,8,4
103,13,3
104,14,4
105,14,0
106,10,1
107,13,1
108,15,2
109,11,5
110,15,1
111,12,3
112,15,3
113,7,3
114,18,3
115,13,2
116,12,3
117,6,2
118,10,3
119,9,3
120,14,3
121,11,3
122,19,1
123,14,4
124,11,3
125,14,4
126,9,4
127,10,0
128,12,0
129,9,5
130,8,2
131,12,6
132,7,1
133,14,1
134,8,8
135,11,1
136,12,0
137,16,2
138,19,0
139,20,2
140,12,4
141,8,6
142,16,4
143,6,3
144,14,1
145,14,2
146,7,3
147,12,3
148,13,3
149,13,4
150,7,1
151,12,3
152,7,1
153,18,1
154,6,0
155,13,2
156,10,3
157,17,1
158,12,2
159,11,2
160,10,0
161,15,2
162,12,2
163,11,1
164,14,3
165,13,5
166,7,2
167,15,3
168,17,3
169,10,4
170,14,0
171,10,2
172,9,8
173,13,1
174,16,2
175,13,1
176,7,3
177,14,3
178,12,2
179,9,0
180,13,4
181,10,3
182,15,6
183,13,0
184,10,4
185,10,4
186,10,0
187,9,3
188,9,4
189,6,5
190,11,5
191,9,1
192,17,0
193,16,2
194,5,3
195,13,1
196,20,0
197,15,1
198,9,5
199,6,6

Cluster contribution to imbalance analysis (cluster-cluster matrix):
242, 327, 232, 147, 24, 7, 6, 
327, 178, 204, 121, 16, 3, 8, 
232, 204, 86, 78, 12, 1, 1, 
147, 121, 78, 24, 5, 1, 2, 
24, 16, 12, 5, 0, 0, 0, 
7, 3, 1, 1, 0, 0, 0, 
6, 8, 1, 2, 0, 0, 0, 

