Global time spent: 0.379354
I(P) = 6
Clustering configuration: 
 Partition 0 (7): [ 1 2 4 9 16 17 18 ] 
 Partition 1 (9): [ 0 5 7 8 10 12 14 15 19 ] 
 Partition 2 (3): [ 3 6 13 ] 
 Partition 3 (1): [ 11 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,2,0
8,0,0
9,1,1
10,0,0
11,0,0
12,0,0
13,1,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,0,0
2,1,0
3,0,0
4,1,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,2,0
15,0,0
16,1,0
17,0,0
18,0,1
19,0,0

