Global time spent: 0.416852
I(P) = 61
Clustering configuration: 
 Partition 0 (20): [ 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,2
1,0,2
2,0,3
3,0,3
4,0,2
5,0,1
6,0,6
7,0,4
8,0,3
9,0,2
10,0,5
11,0,3
12,0,3
13,0,3
14,0,1
15,0,5
16,0,3
17,0,2
18,0,6
19,0,2
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,6
1,0,5
2,0,7
3,0,6
4,0,2
5,0,4
6,0,1
7,0,2
8,0,2
9,0,3
10,0,2
11,0,3
12,0,1
13,0,4
14,0,2
15,0,1
16,0,6
17,0,1
18,0,1
19,0,2

