Global time spent: 0.728163
I(P) = 18
Clustering configuration: 
 Partition 0 (8): [ 9 10 15 18 19 23 24 26 ] 
 Partition 1 (6): [ 3 4 7 14 20 29 ] 
 Partition 2 (6): [ 1 6 11 13 22 28 ] 
 Partition 3 (5): [ 5 8 16 17 21 ] 
 Partition 4 (4): [ 0 2 12 25 ] 
 Partition 5 (1): [ 27 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,1,0
2,0,0
3,0,0
4,0,0
5,1,0
6,1,0
7,0,0
8,0,0
9,1,1
10,0,0
11,0,0
12,1,0
13,2,0
14,1,1
15,1,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,1,0
25,2,0
26,0,0
27,1,0
28,2,0
29,0,1
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,0,0
2,2,0
3,0,1
4,0,0
5,0,0
6,1,0
7,0,1
8,0,0
9,0,0
10,0,1
11,1,0
12,2,0
13,0,0
14,0,0
15,1,0
16,0,0
17,1,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,1,0
24,0,0
25,1,0
26,2,0
27,2,0
28,1,0
29,0,0

