Global time spent: 0.859112
I(P) = 157
Clustering configuration: 
 Partition 0 (16): [ 0 1 4 6 7 9 11 17 18 19 23 24 25 26 28 29 ] 
 Partition 1 (9): [ 8 10 13 14 15 16 20 21 27 ] 
 Partition 2 (1): [ 3 ] 
 Partition 3 (4): [ 2 5 12 22 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,4,1
1,0,1
2,9,0
3,5,0
4,4,1
5,4,0
6,1,1
7,3,5
8,1,0
9,5,2
10,3,2
11,2,1
12,4,0
13,3,1
14,5,1
15,6,1
16,2,0
17,1,3
18,4,2
19,7,3
20,5,0
21,3,1
22,5,0
23,3,4
24,4,3
25,1,3
26,4,5
27,5,2
28,3,3
29,3,2
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,5,2
1,2,5
2,4,0
3,8,0
4,3,4
5,3,0
6,5,2
7,1,1
8,4,0
9,1,3
10,3,1
11,4,3
12,7,0
13,4,2
14,6,0
15,7,1
16,4,1
17,3,3
18,3,2
19,1,1
20,7,2
21,5,1
22,4,0
23,1,4
24,0,3
25,3,1
26,2,1
27,4,0
28,1,2
29,4,3

