Global time spent: 0.958107
I(P) = 157
Clustering configuration: 
 Partition 0 (16): [ 0 1 4 6 7 9 11 17 18 19 23 24 25 26 28 29 ] 
 Partition 1 (8): [ 2 3 5 12 13 15 20 22 ] 
 Partition 2 (6): [ 8 10 14 16 21 27 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,4,1
1,0,1
2,7,1
3,4,2
4,4,1
5,4,3
6,1,1
7,3,5
8,3,0
9,5,2
10,4,1
11,2,1
12,3,0
13,4,0
14,7,0
15,4,2
16,2,0
17,1,3
18,4,2
19,7,3
20,5,0
21,4,0
22,2,1
23,3,4
24,4,3
25,1,3
26,4,5
27,5,0
28,3,3
29,3,2
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,5,2
1,2,5
2,3,1
3,4,1
4,3,4
5,2,1
6,5,2
7,1,1
8,5,0
9,1,3
10,4,0
11,4,3
12,7,1
13,4,1
14,7,0
15,9,1
16,4,0
17,3,3
18,3,2
19,1,1
20,6,2
21,7,1
22,2,1
23,1,4
24,0,3
25,3,1
26,2,1
27,4,0
28,1,2
29,4,3

