Global time spent: 0.871193
I(P) = 68
Clustering configuration: 
 Partition 0 (3): [ 7 10 19 ] 
 Partition 1 (3): [ 0 15 24 ] 
 Partition 2 (4): [ 9 11 13 14 ] 
 Partition 3 (4): [ 3 4 17 27 ] 
 Partition 4 (5): [ 18 20 21 25 28 ] 
 Partition 5 (3): [ 5 8 29 ] 
 Partition 6 (3): [ 2 6 23 ] 
 Partition 7 (4): [ 1 12 16 22 ] 
 Partition 8 (1): [ 26 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,2,2
2,1,0
3,3,0
4,1,0
5,2,0
6,2,0
7,2,1
8,1,0
9,1,0
10,2,0
11,3,0
12,1,0
13,1,0
14,2,0
15,1,0
16,2,1
17,4,0
18,4,0
19,5,0
20,2,0
21,1,0
22,3,0
23,2,1
24,2,0
25,1,0
26,2,0
27,5,0
28,1,1
29,2,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,2,0
1,3,1
2,2,0
3,1,0
4,4,0
5,3,0
6,3,1
7,0,0
8,3,0
9,2,0
10,2,0
11,1,0
12,2,1
13,3,0
14,1,0
15,3,0
16,3,0
17,1,0
18,3,0
19,0,1
20,0,1
21,3,0
22,2,1
23,1,0
24,2,0
25,1,0
26,2,0
27,4,0
28,4,0
29,1,0

