Global time spent: 1.83316
I(P) = 258
Clustering configuration: 
 Partition 0 (8): [ 1 5 8 10 13 16 19 22 ] 
 Partition 1 (13): [ 2 7 11 12 14 15 18 20 24 26 27 28 29 ] 
 Partition 2 (8): [ 0 3 6 9 17 21 23 25 ] 
 Partition 3 (1): [ 4 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,6,2
1,10,1
2,7,1
3,10,0
4,9,0
5,6,0
6,9,1
7,5,3
8,10,1
9,5,1
10,10,1
11,5,3
12,9,3
13,5,1
14,4,3
15,2,0
16,5,3
17,6,1
18,7,4
19,5,3
20,9,2
21,8,0
22,8,2
23,7,4
24,4,5
25,7,1
26,7,2
27,3,4
28,5,4
29,5,4
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,8,2
1,6,3
2,6,2
3,14,1
4,12,0
5,6,1
6,2,1
7,5,4
8,4,2
9,8,1
10,7,2
11,5,3
12,7,3
13,8,0
14,6,5
15,3,2
16,9,1
17,7,1
18,4,1
19,9,1
20,7,1
21,6,1
22,6,2
23,9,0
24,6,2
25,5,3
26,8,5
27,4,6
28,5,1
29,6,3

