Global time spent: 1.16453
I(P) = 258
Clustering configuration: 
 Partition 0 (7): [ 0 6 9 17 21 23 25 ] 
 Partition 1 (14): [ 2 3 7 11 12 14 15 18 20 24 26 27 28 29 ] 
 Partition 2 (8): [ 1 5 8 10 13 16 19 22 ] 
 Partition 3 (1): [ 4 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,7,2
1,10,1
2,6,1
3,9,3
4,9,0
5,6,0
6,10,1
7,5,4
8,10,1
9,5,1
10,10,1
11,4,3
12,8,3
13,5,1
14,3,3
15,1,0
16,5,3
17,6,0
18,7,5
19,5,3
20,8,2
21,8,0
22,8,2
23,7,4
24,4,6
25,7,1
26,6,2
27,3,5
28,4,4
29,5,5
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,8,2
1,6,3
2,6,3
3,8,5
4,12,0
5,6,1
6,3,1
7,4,4
8,4,2
9,9,1
10,7,2
11,5,4
12,6,3
13,8,0
14,5,5
15,3,2
16,9,1
17,8,1
18,4,1
19,9,1
20,6,1
21,7,1
22,6,2
23,10,0
24,6,3
25,6,3
26,7,5
27,4,6
28,4,1
29,5,3

