Global time spent: 1.50461
I(P) = 114
Clustering configuration: 
 Partition 0 (3): [ 9 17 21 ] 
 Partition 1 (3): [ 11 15 29 ] 
 Partition 2 (5): [ 0 3 4 12 19 ] 
 Partition 3 (4): [ 8 13 20 23 ] 
 Partition 4 (3): [ 1 10 22 ] 
 Partition 5 (2): [ 6 27 ] 
 Partition 6 (4): [ 2 24 26 28 ] 
 Partition 7 (2): [ 5 16 ] 
 Partition 8 (1): [ 25 ] 
 Partition 9 (1): [ 14 ] 
 Partition 10 (1): [ 18 ] 
 Partition 11 (1): [ 7 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,3,0
1,6,1
2,5,0
3,6,1
4,2,1
5,3,0
6,5,0
7,3,0
8,5,1
9,2,0
10,7,0
11,1,0
12,5,1
13,2,0
14,3,0
15,2,0
16,3,0
17,5,1
18,2,0
19,0,1
20,6,1
21,2,1
22,3,1
23,2,0
24,3,1
25,5,0
26,3,0
27,3,1
28,2,1
29,2,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,1
1,3,1
2,4,1
3,5,0
4,3,0
5,4,0
6,2,1
7,5,0
8,0,0
9,5,1
10,3,1
11,4,0
12,2,1
13,4,1
14,2,0
15,3,0
16,7,0
17,4,1
18,3,0
19,5,2
20,3,0
21,4,0
22,5,0
23,3,1
24,5,0
25,3,0
26,3,1
27,1,0
28,2,0
29,4,0

