Global time spent: 1.99097
I(P) = 116
Clustering configuration: 
 Partition 0 (3): [ 7 15 29 ] 
 Partition 1 (3): [ 9 17 21 ] 
 Partition 2 (5): [ 0 3 4 12 19 ] 
 Partition 3 (3): [ 18 20 27 ] 
 Partition 4 (3): [ 8 11 13 ] 
 Partition 5 (3): [ 1 5 16 ] 
 Partition 6 (3): [ 6 10 22 ] 
 Partition 7 (4): [ 2 24 26 28 ] 
 Partition 8 (1): [ 25 ] 
 Partition 9 (1): [ 14 ] 
 Partition 10 (1): [ 23 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,3,0
1,6,1
2,5,0
3,6,1
4,2,1
5,3,1
6,5,0
7,2,0
8,5,0
9,2,0
10,8,0
11,2,0
12,5,1
13,2,0
14,3,0
15,3,0
16,2,0
17,5,1
18,1,1
19,0,1
20,8,1
21,2,1
22,3,1
23,3,0
24,3,1
25,5,0
26,3,0
27,2,0
28,2,1
29,2,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,1
1,3,1
2,4,1
3,5,0
4,3,0
5,3,0
6,2,1
7,5,0
8,1,0
9,5,1
10,3,0
11,3,0
12,2,1
13,4,0
14,2,0
15,3,0
16,7,1
17,4,1
18,2,0
19,5,2
20,3,0
21,4,0
22,5,0
23,5,0
24,5,0
25,3,0
26,3,1
27,2,2
28,2,0
29,5,0

