Global time spent: 1.12526
I(P) = 115
Clustering configuration: 
 Partition 0 (2): [ 17 25 ] 
 Partition 1 (5): [ 0 3 4 12 19 ] 
 Partition 2 (5): [ 8 11 13 15 29 ] 
 Partition 3 (2): [ 16 23 ] 
 Partition 4 (2): [ 7 27 ] 
 Partition 5 (2): [ 18 20 ] 
 Partition 6 (5): [ 2 5 24 26 28 ] 
 Partition 7 (3): [ 1 10 22 ] 
 Partition 8 (2): [ 9 21 ] 
 Partition 9 (1): [ 14 ] 
 Partition 10 (1): [ 6 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,3,0
1,6,1
2,5,1
3,6,1
4,2,1
5,2,1
6,6,0
7,3,1
8,4,1
9,3,0
10,7,0
11,0,0
12,5,1
13,2,0
14,3,0
15,1,0
16,4,0
17,6,0
18,1,0
19,0,1
20,8,0
21,2,0
22,3,1
23,2,0
24,3,2
25,5,0
26,2,0
27,2,0
28,2,1
29,2,2
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,1
1,3,1
2,4,1
3,5,0
4,3,0
5,4,2
6,2,0
7,4,0
8,1,1
9,5,0
10,3,1
11,2,0
12,2,1
13,3,1
14,2,0
15,3,1
16,6,0
17,5,0
18,3,0
19,5,2
20,3,0
21,5,0
22,5,0
23,5,0
24,4,0
25,3,0
26,3,2
27,2,1
28,2,0
29,3,0

