Global time spent: 0.822746
I(P) = 32
Clustering configuration: 
 Partition 0 (40): [ 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,3
1,0,0
2,0,0
3,0,0
4,0,1
5,0,0
6,0,0
7,0,2
8,0,0
9,0,0
10,0,1
11,0,2
12,0,1
13,0,2
14,0,1
15,0,0
16,0,0
17,0,1
18,0,0
19,0,2
20,0,0
21,0,1
22,0,0
23,0,1
24,0,0
25,0,0
26,0,1
27,0,2
28,0,2
29,0,0
30,0,0
31,0,3
32,0,0
33,0,2
34,0,0
35,0,0
36,0,1
37,0,2
38,0,1
39,0,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,0,2
2,0,0
3,0,1
4,0,2
5,0,1
6,0,1
7,0,1
8,0,0
9,0,0
10,0,2
11,0,1
12,0,1
13,0,0
14,0,2
15,0,0
16,0,1
17,0,2
18,0,0
19,0,1
20,0,0
21,0,0
22,0,0
23,0,2
24,0,2
25,0,1
26,0,1
27,0,0
28,0,1
29,0,1
30,0,0
31,0,1
32,0,1
33,0,1
34,0,0
35,0,0
36,0,1
37,0,1
38,0,0
39,0,1

