Global time spent: 1.0348
I(P) = 34
Clustering configuration: 
 Partition 0 (17): [ 0 3 5 6 9 10 15 17 19 27 30 32 34 35 36 37 38 ] 
 Partition 1 (13): [ 4 7 14 16 20 22 23 24 25 26 28 33 39 ] 
 Partition 2 (9): [ 1 2 8 11 12 13 18 21 29 ] 
 Partition 3 (1): [ 31 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,1
1,1,0
2,0,0
3,1,0
4,1,0
5,0,0
6,1,0
7,1,0
8,0,0
9,2,0
10,0,0
11,2,0
12,1,0
13,2,0
14,2,0
15,1,0
16,1,1
17,0,1
18,0,0
19,0,0
20,0,0
21,2,0
22,1,0
23,0,0
24,2,0
25,1,0
26,1,1
27,1,0
28,1,1
29,0,0
30,0,0
31,0,0
32,0,0
33,1,0
34,0,0
35,0,0
36,0,0
37,0,1
38,1,0
39,0,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,1,0
2,0,0
3,1,0
4,0,0
5,0,0
6,1,0
7,0,1
8,0,0
9,0,0
10,0,1
11,1,0
12,0,0
13,0,0
14,1,1
15,2,0
16,2,0
17,1,0
18,1,0
19,1,0
20,0,0
21,0,0
22,0,0
23,1,0
24,0,0
25,1,0
26,0,0
27,1,0
28,1,0
29,1,0
30,1,1
31,1,0
32,1,1
33,2,0
34,0,0
35,1,0
36,1,0
37,2,0
38,0,0
39,2,1

