Global time spent: 1.83908
I(P) = 40
Clustering configuration: 
 Partition 0 (8): [ 0 18 19 21 22 23 28 33 ] 
 Partition 1 (8): [ 2 7 8 11 15 24 27 38 ] 
 Partition 2 (7): [ 3 13 16 25 26 34 36 ] 
 Partition 3 (7): [ 1 6 10 14 17 20 37 ] 
 Partition 4 (6): [ 9 29 31 32 35 39 ] 
 Partition 5 (1): [ 5 ] 
 Partition 6 (3): [ 4 12 30 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,2,0
7,0,0
8,0,1
9,1,0
10,2,0
11,1,0
12,2,0
13,1,0
14,3,0
15,1,0
16,1,0
17,1,0
18,1,0
19,0,0
20,1,0
21,1,0
22,1,0
23,0,1
24,1,0
25,0,0
26,0,0
27,1,0
28,2,0
29,0,0
30,0,0
31,2,0
32,0,0
33,1,1
34,0,1
35,2,0
36,0,1
37,0,0
38,1,0
39,1,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,3,0
2,1,0
3,2,0
4,0,0
5,2,0
6,0,0
7,1,0
8,1,0
9,0,0
10,1,0
11,0,0
12,1,0
13,0,0
14,0,0
15,1,0
16,1,2
17,0,0
18,1,0
19,0,0
20,0,0
21,0,0
22,0,1
23,1,0
24,1,0
25,2,0
26,0,0
27,1,1
28,0,0
29,3,0
30,2,0
31,2,0
32,0,0
33,3,1
34,2,0
35,1,0
36,0,0
37,1,0
38,0,0
39,0,0

