Global time spent: 1.32896
I(P) = 40
Clustering configuration: 
 Partition 0 (8): [ 0 3 13 19 26 28 34 36 ] 
 Partition 1 (12): [ 1 2 7 10 14 15 17 18 20 24 29 37 ] 
 Partition 2 (5): [ 4 6 9 12 30 ] 
 Partition 3 (7): [ 8 11 27 31 32 35 38 ] 
 Partition 4 (2): [ 5 23 ] 
 Partition 5 (5): [ 16 21 22 25 33 ] 
 Partition 6 (1): [ 39 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,1,1
2,1,1
3,1,0
4,1,0
5,0,0
6,3,0
7,0,1
8,0,1
9,0,0
10,2,0
11,1,0
12,2,0
13,1,0
14,1,0
15,2,0
16,2,1
17,0,0
18,0,0
19,0,0
20,0,0
21,1,0
22,1,0
23,0,0
24,2,0
25,0,0
26,0,0
27,1,0
28,1,0
29,0,2
30,0,0
31,2,0
32,0,1
33,1,1
34,0,0
35,1,0
36,0,0
37,0,0
38,2,0
39,1,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,3,0
2,0,0
3,2,0
4,0,0
5,2,0
6,1,0
7,1,0
8,1,1
9,0,0
10,1,0
11,0,0
12,0,0
13,0,0
14,0,0
15,2,1
16,0,0
17,0,0
18,0,2
19,0,0
20,1,1
21,0,0
22,0,2
23,1,0
24,0,1
25,1,0
26,1,0
27,3,1
28,1,0
29,0,0
30,2,0
31,1,0
32,0,0
33,3,0
34,1,0
35,1,0
36,0,0
37,1,0
38,0,0
39,0,0

