Global time spent: 2.18919
I(P) = 122
Clustering configuration: 
 Partition 0 (7): [ 3 15 19 26 33 34 36 ] 
 Partition 1 (4): [ 12 14 28 29 ] 
 Partition 2 (5): [ 9 11 13 18 27 ] 
 Partition 3 (3): [ 0 31 35 ] 
 Partition 4 (3): [ 6 16 24 ] 
 Partition 5 (4): [ 7 20 22 25 ] 
 Partition 6 (4): [ 4 17 21 38 ] 
 Partition 7 (5): [ 5 8 30 37 39 ] 
 Partition 8 (2): [ 1 23 ] 
 Partition 9 (2): [ 2 10 ] 
 Partition 10 (1): [ 32 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,1,0
2,4,0
3,4,0
4,3,0
5,2,0
6,6,0
7,2,0
8,3,1
9,4,0
10,3,0
11,3,0
12,7,0
13,3,0
14,2,0
15,1,3
16,2,0
17,4,0
18,1,0
19,4,1
20,5,1
21,6,0
22,1,0
23,4,0
24,2,0
25,4,0
26,0,0
27,2,0
28,3,0
29,3,1
30,1,0
31,2,0
32,1,0
33,2,0
34,1,0
35,3,0
36,3,2
37,6,0
38,3,0
39,1,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,4,0
1,4,0
2,1,0
3,5,0
4,1,0
5,4,0
6,3,0
7,3,0
8,3,0
9,5,0
10,2,0
11,2,0
12,3,0
13,2,0
14,2,0
15,3,0
16,3,0
17,2,0
18,3,0
19,2,2
20,6,0
21,0,0
22,4,1
23,3,0
24,2,0
25,2,0
26,4,0
27,3,0
28,2,1
29,1,0
30,5,0
31,2,0
32,3,0
33,3,1
34,3,2
35,1,0
36,1,1
37,4,1
38,4,0
39,3,0

