Global time spent: 1.3385
I(P) = 126
Clustering configuration: 
 Partition 0 (7): [ 9 11 13 17 21 27 38 ] 
 Partition 1 (6): [ 3 5 8 29 30 39 ] 
 Partition 2 (4): [ 4 6 16 24 ] 
 Partition 3 (4): [ 7 18 22 37 ] 
 Partition 4 (5): [ 12 14 25 28 32 ] 
 Partition 5 (6): [ 15 19 20 26 33 34 ] 
 Partition 6 (2): [ 1 23 ] 
 Partition 7 (2): [ 10 36 ] 
 Partition 8 (3): [ 0 31 35 ] 
 Partition 9 (1): [ 2 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,1,0
2,4,0
3,3,1
4,2,0
5,2,1
6,6,1
7,2,0
8,2,1
9,3,0
10,3,0
11,3,0
12,8,1
13,2,1
14,1,0
15,1,3
16,2,1
17,3,0
18,1,0
19,4,1
20,4,0
21,6,1
22,1,0
23,4,0
24,2,0
25,4,0
26,1,0
27,2,0
28,3,0
29,4,1
30,1,0
31,2,0
32,1,1
33,2,0
34,1,1
35,3,0
36,3,0
37,7,0
38,3,3
39,0,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,4,0
1,4,0
2,1,0
3,4,1
4,2,2
5,3,0
6,2,0
7,4,0
8,4,0
9,4,1
10,2,0
11,2,1
12,3,0
13,2,1
14,3,1
15,3,0
16,2,0
17,2,1
18,3,0
19,1,1
20,7,2
21,0,0
22,4,0
23,3,0
24,2,0
25,3,1
26,4,0
27,2,1
28,1,0
29,1,2
30,5,0
31,2,0
32,2,0
33,4,1
34,2,1
35,1,0
36,3,0
37,3,0
38,2,0
39,2,1

