Global time spent: 2.91008
I(P) = 125
Clustering configuration: 
 Partition 0 (5): [ 1 23 29 30 37 ] 
 Partition 1 (5): [ 11 12 13 18 27 ] 
 Partition 2 (5): [ 0 6 9 24 32 ] 
 Partition 3 (4): [ 2 7 8 39 ] 
 Partition 4 (4): [ 3 10 22 36 ] 
 Partition 5 (5): [ 14 16 20 25 28 ] 
 Partition 6 (3): [ 5 31 35 ] 
 Partition 7 (5): [ 15 19 26 33 34 ] 
 Partition 8 (4): [ 4 17 21 38 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,1,1
2,2,0
3,4,1
4,3,0
5,3,0
6,4,0
7,3,0
8,3,2
9,6,0
10,2,0
11,3,0
12,8,0
13,2,0
14,1,0
15,1,2
16,2,1
17,4,0
18,1,1
19,4,1
20,4,1
21,6,0
22,2,0
23,3,1
24,2,0
25,4,0
26,1,0
27,2,1
28,3,0
29,3,0
30,2,0
31,2,0
32,1,0
33,2,0
34,1,0
35,3,0
36,3,0
37,6,1
38,3,0
39,1,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,4,0
1,4,1
2,1,1
3,4,0
4,1,0
5,3,0
6,3,0
7,3,1
8,5,0
9,3,0
10,2,1
11,1,0
12,3,2
13,3,0
14,4,1
15,3,0
16,2,0
17,2,0
18,3,0
19,2,1
20,6,0
21,0,0
22,4,0
23,1,0
24,2,0
25,2,1
26,4,0
27,3,0
28,2,0
29,2,1
30,4,0
31,2,0
32,3,0
33,4,1
34,3,1
35,1,0
36,2,0
37,4,1
38,4,0
39,3,0

