Global time spent: 3.66005
I(P) = 496
Clustering configuration: 
 Partition 0 (12): [ 8 9 10 13 14 17 21 24 27 29 31 34 ] 
 Partition 1 (16): [ 1 3 4 11 16 18 19 22 23 28 30 32 33 35 38 39 ] 
 Partition 2 (10): [ 0 2 6 7 12 15 20 25 36 37 ] 
 Partition 3 (2): [ 5 26 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,12,1
1,8,6
2,9,2
3,5,7
4,9,1
5,10,0
6,13,2
7,11,2
8,9,3
9,10,3
10,13,3
11,8,1
12,9,3
13,7,3
14,11,2
15,12,3
16,8,3
17,8,2
18,8,2
19,9,4
20,8,2
21,6,3
22,8,1
23,4,5
24,12,2
25,10,2
26,12,1
27,10,4
28,10,4
29,9,2
30,9,5
31,12,5
32,8,5
33,4,4
34,10,5
35,10,4
36,12,3
37,13,3
38,7,5
39,10,5
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,11,2
1,5,5
2,6,0
3,11,1
4,10,4
5,14,1
6,11,2
7,11,0
8,11,5
9,11,2
10,9,2
11,7,4
12,6,2
13,10,3
14,5,3
15,10,5
16,8,7
17,6,4
18,8,6
19,14,4
20,14,4
21,11,3
22,13,6
23,10,2
24,10,5
25,6,4
26,12,0
27,6,1
28,11,2
29,7,3
30,9,5
31,12,4
32,10,3
33,9,4
34,12,2
35,4,2
36,10,4
37,11,0
38,6,4
39,6,3

