Global time spent: 5.78572
I(P) = 210
Clustering configuration: 
 Partition 0 (4): [ 0 9 17 39 ] 
 Partition 1 (4): [ 2 6 12 37 ] 
 Partition 2 (3): [ 5 13 27 ] 
 Partition 3 (3): [ 22 32 33 ] 
 Partition 4 (3): [ 10 25 31 ] 
 Partition 5 (2): [ 4 21 ] 
 Partition 6 (3): [ 3 8 24 ] 
 Partition 7 (4): [ 18 26 28 30 ] 
 Partition 8 (4): [ 14 20 29 38 ] 
 Partition 9 (3): [ 11 15 35 ] 
 Partition 10 (3): [ 1 7 19 ] 
 Partition 11 (3): [ 23 34 36 ] 
 Partition 12 (1): [ 16 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,6,0
1,3,1
2,5,0
3,4,0
4,4,0
5,6,0
6,7,1
7,2,0
8,5,1
9,7,0
10,4,0
11,4,0
12,5,0
13,6,1
14,7,1
15,5,1
16,2,0
17,5,0
18,8,1
19,1,0
20,5,1
21,1,0
22,6,0
23,2,0
24,6,1
25,4,0
26,4,0
27,6,0
28,5,1
29,6,1
30,3,1
31,7,0
32,5,0
33,6,0
34,6,1
35,7,0
36,7,0
37,5,0
38,3,0
39,6,1
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,5,0
1,4,0
2,6,0
3,7,1
4,6,0
5,3,1
6,5,0
7,9,0
8,2,1
9,3,1
10,5,0
11,1,1
12,5,0
13,4,0
14,4,0
15,4,0
16,9,0
17,3,0
18,6,1
19,8,1
20,3,1
21,6,0
22,6,0
23,8,1
24,4,0
25,2,0
26,3,2
27,4,0
28,7,0
29,5,1
30,5,0
31,7,0
32,4,0
33,6,0
34,3,0
35,3,0
36,6,0
37,4,1
38,7,1
39,4,0

