Global time spent: 1.77822
I(P) = 217
Clustering configuration: 
 Partition 0 (4): [ 2 3 22 34 ] 
 Partition 1 (4): [ 13 17 27 39 ] 
 Partition 2 (5): [ 0 9 20 29 38 ] 
 Partition 3 (3): [ 6 26 30 ] 
 Partition 4 (4): [ 24 32 33 35 ] 
 Partition 5 (2): [ 8 16 ] 
 Partition 6 (3): [ 5 15 28 ] 
 Partition 7 (3): [ 1 7 19 ] 
 Partition 8 (4): [ 11 12 18 37 ] 
 Partition 9 (3): [ 4 14 21 ] 
 Partition 10 (3): [ 10 25 31 ] 
 Partition 11 (2): [ 23 36 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,5,2
1,3,1
2,5,1
3,4,1
4,3,0
5,6,0
6,8,2
7,2,0
8,5,0
9,6,0
10,4,0
11,4,0
12,7,0
13,4,0
14,7,0
15,4,0
16,2,1
17,4,0
18,8,1
19,1,0
20,5,2
21,1,0
22,6,1
23,3,0
24,6,1
25,4,0
26,5,0
27,7,2
28,6,0
29,7,2
30,2,0
31,7,0
32,5,1
33,5,1
34,3,0
35,8,1
36,8,0
37,6,0
38,3,1
39,6,1
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,4,1
1,4,0
2,7,0
3,5,0
4,6,0
5,3,0
6,4,0
7,9,0
8,3,1
9,3,2
10,5,0
11,2,1
12,4,0
13,4,1
14,6,0
15,5,0
16,8,0
17,3,1
18,6,0
19,8,1
20,3,2
21,5,0
22,5,1
23,8,0
24,3,1
25,2,0
26,3,1
27,3,0
28,9,0
29,3,0
30,6,1
31,7,0
32,4,0
33,7,2
34,5,2
35,3,1
36,6,0
37,4,0
38,6,2
39,4,1

