Global time spent: 2.51006
I(P) = 217
Clustering configuration: 
 Partition 0 (4): [ 3 22 24 32 ] 
 Partition 1 (5): [ 2 6 12 13 37 ] 
 Partition 2 (4): [ 9 11 29 38 ] 
 Partition 3 (5): [ 1 17 19 28 39 ] 
 Partition 4 (3): [ 23 33 35 ] 
 Partition 5 (3): [ 5 15 27 ] 
 Partition 6 (2): [ 8 20 ] 
 Partition 7 (3): [ 0 26 30 ] 
 Partition 8 (2): [ 7 18 ] 
 Partition 9 (3): [ 4 14 21 ] 
 Partition 10 (3): [ 16 34 36 ] 
 Partition 11 (3): [ 10 25 31 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,4,0
1,2,1
2,5,1
3,4,1
4,3,0
5,5,0
6,7,1
7,4,1
8,6,1
9,7,0
10,4,0
11,5,2
12,5,1
13,4,1
14,7,0
15,4,0
16,1,0
17,4,1
18,8,0
19,1,1
20,5,0
21,1,0
22,6,1
23,3,0
24,5,0
25,4,0
26,6,1
27,7,1
28,4,1
29,7,0
30,3,1
31,7,0
32,5,1
33,5,0
34,6,0
35,9,1
36,8,0
37,5,1
38,5,1
39,5,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,6,2
1,4,1
2,5,0
3,6,1
4,6,0
5,2,0
6,4,0
7,8,0
8,2,0
9,3,2
10,5,0
11,2,0
12,5,1
13,5,3
14,6,0
15,5,1
16,9,0
17,4,0
18,7,1
19,7,1
20,5,1
21,5,0
22,5,0
23,8,0
24,4,1
25,2,0
26,2,0
27,4,0
28,7,2
29,4,1
30,5,0
31,7,0
32,4,1
33,7,1
34,4,0
35,3,0
36,6,0
37,4,1
38,5,0
39,4,0

