Global time spent: 2.55424
I(P) = 58
Clustering configuration: 
 Partition 0 (21): [ 1 2 4 6 7 9 10 14 15 16 18 22 27 29 30 31 34 35 43 45 46 ] 
 Partition 1 (13): [ 3 11 12 13 19 20 25 28 32 38 39 44 49 ] 
 Partition 2 (10): [ 8 21 24 26 33 37 40 42 47 48 ] 
 Partition 3 (6): [ 0 5 17 23 36 41 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,0,0
2,0,1
3,1,0
4,0,0
5,1,0
6,2,0
7,2,1
8,1,0
9,2,0
10,0,1
11,3,0
12,1,0
13,0,0
14,2,1
15,2,0
16,1,0
17,0,0
18,0,0
19,1,0
20,1,1
21,2,0
22,1,0
23,1,0
24,3,0
25,1,0
26,1,0
27,1,0
28,2,0
29,0,1
30,0,0
31,1,0
32,1,0
33,0,0
34,1,1
35,1,0
36,0,0
37,0,0
38,1,1
39,2,0
40,1,0
41,1,0
42,0,0
43,2,0
44,0,1
45,0,0
46,0,0
47,0,0
48,2,0
49,2,1
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,1,1
2,2,0
3,3,0
4,1,0
5,1,0
6,1,1
7,1,0
8,2,0
9,0,0
10,0,0
11,2,1
12,0,1
13,1,0
14,3,0
15,0,1
16,1,0
17,0,0
18,0,0
19,0,1
20,2,0
21,0,0
22,2,0
23,0,0
24,1,0
25,1,0
26,3,0
27,0,0
28,0,1
29,2,0
30,0,1
31,1,0
32,1,0
33,2,0
34,1,0
35,0,0
36,1,0
37,1,0
38,0,0
39,0,0
40,2,0
41,0,0
42,2,0
43,2,1
44,0,0
45,1,1
46,1,0
47,1,0
48,2,0
49,0,0

