Global time spent: 1.99438
I(P) = 158
Clustering configuration: 
 Partition 0 (25): [ 2 4 5 6 7 8 13 14 16 17 18 19 21 23 27 31 32 33 34 36 38 41 42 43 46 ] 
 Partition 1 (16): [ 0 3 10 11 12 22 24 25 26 29 30 35 39 45 47 49 ] 
 Partition 2 (7): [ 9 15 20 28 40 44 48 ] 
 Partition 3 (2): [ 1 37 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,3,1
1,2,0
2,1,1
3,4,0
4,0,0
5,4,4
6,0,1
7,0,0
8,2,2
9,2,0
10,3,1
11,2,1
12,1,0
13,2,1
14,1,0
15,2,0
16,3,2
17,4,0
18,2,3
19,3,0
20,4,0
21,2,0
22,3,0
23,0,2
24,3,0
25,7,0
26,3,1
27,2,1
28,4,0
29,3,2
30,4,1
31,2,2
32,3,1
33,4,2
34,1,2
35,2,0
36,2,1
37,2,0
38,0,1
39,3,2
40,3,0
41,2,0
42,4,1
43,0,3
44,3,0
45,3,0
46,1,1
47,2,0
48,3,0
49,1,1
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,2
1,2,0
2,1,1
3,3,0
4,2,2
5,1,1
6,2,2
7,2,0
8,1,2
9,9,0
10,2,0
11,2,0
12,3,1
13,0,3
14,3,3
15,3,0
16,0,2
17,4,1
18,4,0
19,2,2
20,2,0
21,3,2
22,3,2
23,2,1
24,5,0
25,1,2
26,2,0
27,1,1
28,7,0
29,1,1
30,3,0
31,2,1
32,1,1
33,1,1
34,0,0
35,2,1
36,3,0
37,3,0
38,2,0
39,1,0
40,6,0
41,2,1
42,2,3
43,2,0
44,1,0
45,1,1
46,3,1
47,4,0
48,3,0
49,2,0

