Global time spent: 1.358
I(P) = 158
Clustering configuration: 
 Partition 0 (17): [ 0 3 9 10 11 12 24 25 26 28 30 35 39 44 45 48 49 ] 
 Partition 1 (25): [ 2 4 5 7 8 13 14 17 18 19 21 23 27 31 32 33 34 36 38 40 41 42 43 46 47 ] 
 Partition 2 (7): [ 1 6 16 20 22 29 37 ] 
 Partition 3 (1): [ 15 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,3,0
1,2,1
2,1,1
3,3,2
4,0,0
5,4,4
6,1,0
7,1,0
8,2,2
9,3,2
10,2,1
11,2,1
12,1,0
13,2,1
14,1,1
15,2,0
16,5,0
17,3,0
18,2,3
19,3,1
20,2,0
21,2,0
22,4,0
23,0,0
24,3,0
25,5,1
26,3,0
27,2,2
28,4,0
29,5,0
30,4,3
31,2,1
32,5,1
33,3,2
34,0,1
35,2,0
36,0,1
37,2,0
38,0,1
39,3,2
40,3,1
41,2,0
42,5,1
43,0,3
44,1,0
45,2,0
46,1,1
47,1,2
48,2,1
49,1,2
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,1
1,1,0
2,1,1
3,3,0
4,2,2
5,1,1
6,4,0
7,2,1
8,2,2
9,6,1
10,1,0
11,3,0
12,3,1
13,0,3
14,3,3
15,3,0
16,2,0
17,4,1
18,3,1
19,2,2
20,3,1
21,2,1
22,4,0
23,2,1
24,4,0
25,1,1
26,2,2
27,2,0
28,3,2
29,5,0
30,3,0
31,2,1
32,0,1
33,1,1
34,1,0
35,2,1
36,2,0
37,1,0
38,2,1
39,1,0
40,4,1
41,3,1
42,2,2
43,2,0
44,2,2
45,2,1
46,2,1
47,2,2
48,1,2
49,2,1

