Global time spent: 1.63577
I(P) = 69
Clustering configuration: 
 Partition 0 (10): [ 1 2 3 6 11 29 31 32 34 47 ] 
 Partition 1 (7): [ 0 8 35 36 45 48 49 ] 
 Partition 2 (9): [ 12 13 15 16 17 19 30 41 43 ] 
 Partition 3 (7): [ 10 14 20 37 38 40 44 ] 
 Partition 4 (10): [ 5 18 21 23 24 26 27 33 42 46 ] 
 Partition 5 (3): [ 4 22 39 ] 
 Partition 6 (3): [ 7 9 28 ] 
 Partition 7 (1): [ 25 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,0,0
2,0,1
3,4,0
4,0,0
5,2,1
6,0,0
7,1,0
8,2,0
9,3,0
10,0,1
11,1,0
12,2,0
13,2,1
14,1,0
15,1,0
16,0,0
17,2,0
18,0,1
19,2,0
20,2,0
21,0,2
22,3,0
23,0,0
24,2,0
25,1,0
26,3,0
27,1,1
28,3,0
29,0,0
30,2,1
31,0,1
32,2,0
33,2,0
34,1,1
35,1,0
36,2,0
37,0,0
38,1,0
39,1,0
40,0,0
41,1,0
42,3,0
43,1,0
44,0,1
45,0,0
46,0,0
47,1,0
48,0,0
49,0,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,2,0
1,1,0
2,0,0
3,0,0
4,1,0
5,3,2
6,2,1
7,3,0
8,0,0
9,3,0
10,2,0
11,0,1
12,0,2
13,0,0
14,1,1
15,2,0
16,1,0
17,1,0
18,2,0
19,3,0
20,1,0
21,0,0
22,1,0
23,1,0
24,1,0
25,1,0
26,2,0
27,1,0
28,2,0
29,2,1
30,0,0
31,1,0
32,1,0
33,0,1
34,1,0
35,2,0
36,1,0
37,0,0
38,0,0
39,1,0
40,2,1
41,0,0
42,2,0
43,3,0
44,0,0
45,0,0
46,0,2
47,3,0
48,1,0
49,0,0

