Global time spent: 1.35816
I(P) = 69
Clustering configuration: 
 Partition 0 (9): [ 23 34 36 38 40 44 46 48 49 ] 
 Partition 1 (9): [ 4 12 15 16 17 22 30 35 41 ] 
 Partition 2 (11): [ 10 18 20 21 24 26 27 28 33 42 47 ] 
 Partition 3 (9): [ 2 6 7 9 13 19 31 32 43 ] 
 Partition 4 (6): [ 1 8 11 14 29 39 ] 
 Partition 5 (4): [ 0 3 25 45 ] 
 Partition 6 (2): [ 5 37 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,0,0
2,1,0
3,4,0
4,0,0
5,3,0
6,1,0
7,0,0
8,3,0
9,2,0
10,1,1
11,1,0
12,1,0
13,4,0
14,1,0
15,1,0
16,0,0
17,1,0
18,2,1
19,1,0
20,2,1
21,0,0
22,2,1
23,1,0
24,2,0
25,1,0
26,3,1
27,1,0
28,2,0
29,0,0
30,2,2
31,1,1
32,2,0
33,1,0
34,2,0
35,0,0
36,1,0
37,0,0
38,0,0
39,1,0
40,1,1
41,1,0
42,2,0
43,0,0
44,1,0
45,0,0
46,0,1
47,1,0
48,0,0
49,0,1
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,1,0
2,0,0
3,1,0
4,0,0
5,5,0
6,1,1
7,2,0
8,0,0
9,3,0
10,2,1
11,2,0
12,0,1
13,0,0
14,2,0
15,2,0
16,1,0
17,1,0
18,1,0
19,2,0
20,1,0
21,0,0
22,1,0
23,2,0
24,2,0
25,1,0
26,1,0
27,0,0
28,2,0
29,2,0
30,0,0
31,1,0
32,1,0
33,0,2
34,1,0
35,2,2
36,1,1
37,1,0
38,0,1
39,1,0
40,1,0
41,1,0
42,2,1
43,2,0
44,0,1
45,0,0
46,2,0
47,2,0
48,1,0
49,0,0

