Global time spent: 2.4643
I(P) = 463
Clustering configuration: 
 Partition 0 (14): [ 1 6 8 14 21 26 29 36 38 39 41 42 45 49 ] 
 Partition 1 (3): [ 16 28 33 ] 
 Partition 2 (9): [ 12 13 15 19 20 22 25 30 44 ] 
 Partition 3 (18): [ 2 3 4 7 10 17 23 24 27 31 32 34 35 37 40 43 46 47 ] 
 Partition 4 (1): [ 5 ] 
 Partition 5 (5): [ 0 9 11 18 48 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,10,0
1,7,4
2,6,3
3,5,4
4,7,0
5,8,0
6,10,0
7,9,0
8,6,1
9,13,0
10,7,5
11,8,1
12,7,1
13,8,3
14,8,3
15,10,0
16,8,0
17,6,1
18,8,1
19,6,0
20,15,2
21,6,3
22,9,1
23,7,2
24,7,3
25,6,1
26,8,4
27,10,3
28,9,0
29,5,4
30,5,1
31,9,1
32,5,2
33,9,0
34,8,4
35,9,4
36,7,0
37,9,2
38,9,1
39,8,1
40,7,2
41,8,2
42,5,2
43,5,3
44,6,0
45,3,0
46,12,2
47,7,2
48,6,0
49,6,2
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,11,0
1,6,1
2,6,2
3,5,3
4,5,5
5,8,0
6,6,2
7,7,4
8,6,3
9,7,1
10,4,2
11,7,0
12,12,2
13,9,1
14,6,2
15,6,0
16,16,0
17,9,4
18,10,0
19,10,1
20,4,1
21,12,3
22,9,1
23,5,2
24,9,1
25,11,2
26,9,1
27,8,1
28,8,0
29,7,2
30,12,1
31,9,3
32,5,3
33,5,0
34,4,1
35,4,1
36,11,5
37,5,1
38,7,1
39,13,2
40,8,4
41,4,1
42,7,1
43,9,1
44,5,0
45,9,2
46,6,4
47,3,1
48,9,1
49,9,1

