Global time spent: 3.39321
I(P) = 782
Clustering configuration: 
 Partition 0 (23): [ 0 1 2 4 7 8 13 15 18 20 25 28 30 33 35 36 37 38 39 43 47 48 49 ] 
 Partition 1 (11): [ 3 11 16 17 19 21 22 23 31 34 46 ] 
 Partition 2 (10): [ 6 10 12 26 27 29 40 41 42 44 ] 
 Partition 3 (5): [ 5 9 14 24 45 ] 
 Partition 4 (1): [ 32 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,7,6
1,5,7
2,10,9
3,11,3
4,15,6
5,16,0
6,17,2
7,10,6
8,10,9
9,19,0
10,10,2
11,9,0
12,6,1
13,11,7
14,17,2
15,5,6
16,15,0
17,14,4
18,9,6
19,10,2
20,11,3
21,20,0
22,13,3
23,9,1
24,11,1
25,7,7
26,11,1
27,12,3
28,8,9
29,14,4
30,5,2
31,14,1
32,10,0
33,9,6
34,19,3
35,13,4
36,6,8
37,11,8
38,9,7
39,12,10
40,11,1
41,18,4
42,13,1
43,13,8
44,18,3
45,23,1
46,13,1
47,13,7
48,8,8
49,6,3
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,11,7
1,7,5
2,9,5
3,10,0
4,8,7
5,11,0
6,12,3
7,12,8
8,7,6
9,13,1
10,12,3
11,11,3
12,16,2
13,9,8
14,18,2
15,9,9
16,14,2
17,14,1
18,12,13
19,13,2
20,11,4
21,12,0
22,13,3
23,17,2
24,15,0
25,7,3
26,14,3
27,11,1
28,8,2
29,16,2
30,8,10
31,9,1
32,15,0
33,8,8
34,15,1
35,8,4
36,13,5
37,16,7
38,12,9
39,10,4
40,17,2
41,9,3
42,18,1
43,10,7
44,16,2
45,16,1
46,12,3
47,7,8
48,8,5
49,7,8

