Global time spent: 7.97064
I(P) = 337
Clustering configuration: 
 Partition 0 (4): [ 11 31 43 47 ] 
 Partition 1 (4): [ 4 25 33 35 ] 
 Partition 2 (5): [ 1 7 13 20 48 ] 
 Partition 3 (4): [ 5 9 17 45 ] 
 Partition 4 (3): [ 6 32 37 ] 
 Partition 5 (4): [ 3 22 28 39 ] 
 Partition 6 (2): [ 18 34 ] 
 Partition 7 (3): [ 26 30 36 ] 
 Partition 8 (4): [ 10 12 40 42 ] 
 Partition 9 (2): [ 15 19 ] 
 Partition 10 (4): [ 0 14 41 44 ] 
 Partition 11 (4): [ 8 16 21 46 ] 
 Partition 12 (1): [ 2 ] 
 Partition 13 (2): [ 27 29 ] 
 Partition 14 (3): [ 24 38 49 ] 
 Partition 15 (1): [ 23 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,4,1
1,6,0
2,4,0
3,4,0
4,13,0
5,5,0
6,10,0
7,5,0
8,6,1
9,7,1
10,3,1
11,4,2
12,4,0
13,8,2
14,6,1
15,4,0
16,7,0
17,9,1
18,4,0
19,8,0
20,5,1
21,10,0
22,12,1
23,6,0
24,3,1
25,7,1
26,3,0
27,3,0
28,5,0
29,6,0
30,7,0
31,6,0
32,4,1
33,8,0
34,6,0
35,8,0
36,5,0
37,5,1
38,7,0
39,7,0
40,4,1
41,6,0
42,6,0
43,10,0
44,7,0
45,8,2
46,6,0
47,11,2
48,6,1
49,7,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,5,0
1,2,0
2,8,0
3,5,0
4,6,1
5,4,2
6,5,1
7,10,3
8,7,0
9,6,0
10,6,1
11,5,0
12,6,0
13,8,0
14,11,0
15,6,0
16,6,1
17,3,2
18,4,0
19,6,0
20,5,0
21,6,0
22,5,0
23,3,0
24,6,0
25,4,0
26,7,0
27,7,0
28,6,0
29,7,0
30,7,0
31,6,2
32,5,1
33,5,0
34,13,0
35,6,0
36,8,0
37,4,0
38,6,0
39,7,1
40,8,0
41,4,2
42,10,1
43,10,1
44,10,0
45,7,0
46,5,0
47,4,1
48,7,1
49,8,1

