Global time spent: 7.83809
I(P) = 352
Clustering configuration: 
 Partition 0 (6): [ 0 2 35 40 41 48 ] 
 Partition 1 (4): [ 27 39 44 47 ] 
 Partition 2 (3): [ 6 26 37 ] 
 Partition 3 (4): [ 10 12 24 42 ] 
 Partition 4 (3): [ 11 23 33 ] 
 Partition 5 (6): [ 25 28 30 36 38 49 ] 
 Partition 6 (4): [ 8 16 21 46 ] 
 Partition 7 (2): [ 15 19 ] 
 Partition 8 (3): [ 29 34 45 ] 
 Partition 9 (5): [ 1 4 7 13 20 ] 
 Partition 10 (4): [ 3 14 22 32 ] 
 Partition 11 (3): [ 5 9 17 ] 
 Partition 12 (1): [ 18 ] 
 Partition 13 (2): [ 31 43 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,2,3
1,5,0
2,4,3
3,4,1
4,12,1
5,6,0
6,11,0
7,6,1
8,6,1
9,8,1
10,3,1
11,5,0
12,5,0
13,8,2
14,5,0
15,4,0
16,7,0
17,10,1
18,5,0
19,8,0
20,5,1
21,10,0
22,12,1
23,5,1
24,4,1
25,5,2
26,3,0
27,3,0
28,5,2
29,6,0
30,4,0
31,8,0
32,5,2
33,9,0
34,4,0
35,9,2
36,5,3
37,5,1
38,7,2
39,7,1
40,4,4
41,6,0
42,5,0
43,12,0
44,7,0
45,7,0
46,6,0
47,11,0
48,6,0
49,5,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,7,3
1,3,0
2,6,2
3,7,1
4,7,2
5,4,1
6,4,0
7,9,2
8,7,0
9,7,0
10,6,1
11,7,0
12,7,0
13,9,1
14,12,2
15,6,0
16,6,1
17,3,1
18,4,0
19,6,0
20,5,0
21,6,0
22,4,0
23,2,0
24,6,0
25,3,3
26,8,1
27,6,0
28,5,1
29,6,0
30,6,2
31,6,0
32,4,1
33,8,1
34,13,0
35,3,2
36,7,0
37,5,0
38,5,1
39,8,0
40,7,1
41,5,2
42,10,1
43,11,0
44,8,0
45,8,0
46,5,0
47,5,1
48,6,2
49,6,2

