Global time spent: 3.24054
I(P) = 349
Clustering configuration: 
 Partition 0 (5): [ 25 27 29 33 35 ] 
 Partition 1 (6): [ 8 15 16 21 46 49 ] 
 Partition 2 (3): [ 10 11 23 ] 
 Partition 3 (5): [ 1 7 13 20 48 ] 
 Partition 4 (3): [ 31 41 44 ] 
 Partition 5 (3): [ 4 30 47 ] 
 Partition 6 (4): [ 5 9 12 40 ] 
 Partition 7 (3): [ 17 24 38 ] 
 Partition 8 (3): [ 32 37 43 ] 
 Partition 9 (4): [ 3 22 28 39 ] 
 Partition 10 (5): [ 0 6 14 26 36 ] 
 Partition 11 (3): [ 18 34 45 ] 
 Partition 12 (3): [ 2 19 42 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,4,1
1,6,0
2,2,0
3,4,0
4,13,1
5,7,2
6,9,1
7,5,0
8,6,2
9,7,1
10,3,0
11,5,0
12,5,0
13,8,2
14,4,1
15,2,2
16,6,0
17,9,0
18,4,1
19,8,1
20,5,1
21,10,2
22,12,1
23,5,1
24,3,1
25,7,1
26,2,1
27,2,2
28,5,0
29,5,1
30,8,1
31,8,0
32,4,1
33,8,1
34,5,0
35,8,1
36,3,1
37,5,1
38,8,1
39,7,0
40,3,0
41,8,0
42,7,1
43,12,0
44,8,0
45,8,1
46,5,1
47,10,0
48,6,1
49,6,2
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,5,0
1,2,0
2,8,2
3,5,0
4,7,1
5,3,0
6,4,1
7,10,3
8,6,1
9,7,0
10,8,1
11,6,0
12,6,1
13,8,0
14,12,2
15,6,2
16,5,2
17,4,2
18,4,1
19,5,0
20,5,0
21,6,2
22,5,0
23,3,0
24,5,0
25,4,1
26,7,1
27,6,1
28,6,0
29,6,2
30,6,1
31,6,0
32,6,1
33,5,1
34,12,0
35,5,1
36,8,1
37,3,0
38,6,0
39,7,1
40,8,2
41,4,0
42,9,0
43,11,1
44,9,0
45,9,1
46,4,0
47,4,0
48,7,1
49,7,2

