Global time spent: 6.14595
I(P) = 347
Clustering configuration: 
 Partition 0 (5): [ 10 12 24 40 42 ] 
 Partition 1 (5): [ 1 7 13 20 48 ] 
 Partition 2 (5): [ 15 23 31 44 47 ] 
 Partition 3 (4): [ 4 25 33 35 ] 
 Partition 4 (5): [ 8 16 17 21 46 ] 
 Partition 5 (3): [ 0 19 36 ] 
 Partition 6 (4): [ 3 22 28 39 ] 
 Partition 7 (4): [ 2 38 41 49 ] 
 Partition 8 (3): [ 6 32 37 ] 
 Partition 9 (4): [ 9 29 34 45 ] 
 Partition 10 (2): [ 26 30 ] 
 Partition 11 (3): [ 5 11 43 ] 
 Partition 12 (1): [ 14 ] 
 Partition 13 (1): [ 18 ] 
 Partition 14 (1): [ 27 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,3,0
1,6,0
2,4,2
3,4,0
4,13,0
5,6,0
6,10,0
7,5,0
8,6,1
9,7,1
10,3,1
11,4,1
12,4,0
13,8,2
14,7,0
15,4,2
16,7,1
17,9,2
18,5,0
19,8,1
20,5,1
21,10,1
22,12,1
23,4,2
24,4,1
25,7,1
26,4,0
27,4,0
28,5,0
29,6,1
30,8,0
31,6,1
32,4,1
33,8,0
34,4,1
35,8,0
36,4,1
37,5,1
38,7,0
39,7,0
40,4,2
41,8,0
42,5,0
43,11,0
44,8,1
45,6,0
46,5,0
47,10,2
48,6,1
49,6,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,7,1
1,2,0
2,5,0
3,5,0
4,6,1
5,4,1
6,5,1
7,10,3
8,7,1
9,8,2
10,6,2
11,6,0
12,6,0
13,8,0
14,13,0
15,5,2
16,6,2
17,3,2
18,4,0
19,5,1
20,5,0
21,5,0
22,5,0
23,3,2
24,6,1
25,4,0
26,7,0
27,8,0
28,6,0
29,6,1
30,7,0
31,5,2
32,5,1
33,5,0
34,12,0
35,6,0
36,9,0
37,4,0
38,7,1
39,7,1
40,8,0
41,5,0
42,10,1
43,10,0
44,8,0
45,7,0
46,4,0
47,4,2
48,7,1
49,8,1

