Global time spent: 3.03903
I(P) = 349
Clustering configuration: 
 Partition 0 (5): [ 0 6 14 26 36 ] 
 Partition 1 (3): [ 10 25 33 ] 
 Partition 2 (4): [ 3 28 39 48 ] 
 Partition 3 (5): [ 8 16 17 21 46 ] 
 Partition 4 (4): [ 11 15 19 23 ] 
 Partition 5 (4): [ 31 35 41 44 ] 
 Partition 6 (4): [ 1 7 13 20 ] 
 Partition 7 (4): [ 2 4 22 47 ] 
 Partition 8 (4): [ 5 9 24 45 ] 
 Partition 9 (4): [ 27 29 37 43 ] 
 Partition 10 (3): [ 12 40 42 ] 
 Partition 11 (2): [ 18 34 ] 
 Partition 12 (3): [ 30 38 49 ] 
 Partition 13 (1): [ 32 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,4,1
1,6,0
2,4,2
3,5,1
4,12,1
5,6,0
6,9,1
7,6,0
8,6,1
9,7,1
10,4,1
11,5,2
12,5,0
13,8,1
14,4,1
15,4,0
16,7,1
17,9,2
18,4,0
19,6,0
20,5,1
21,10,1
22,11,0
23,5,2
24,3,1
25,6,0
26,2,1
27,2,1
28,4,0
29,6,1
30,7,0
31,8,0
32,5,0
33,9,1
34,6,0
35,9,1
36,3,1
37,5,0
38,8,1
39,6,0
40,4,0
41,7,0
42,7,0
43,11,0
44,8,1
45,8,1
46,5,0
47,11,0
48,8,2
49,7,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,5,0
1,3,0
2,7,1
3,6,1
4,6,1
5,4,1
6,4,1
7,10,2
8,7,1
9,7,1
10,7,1
11,6,0
12,7,0
13,9,0
14,12,2
15,6,2
16,6,2
17,3,2
18,4,0
19,6,2
20,6,0
21,5,0
22,5,1
23,2,0
24,7,1
25,4,1
26,7,1
27,7,0
28,7,1
29,6,0
30,7,1
31,6,1
32,6,0
33,7,0
34,13,0
35,5,1
36,8,1
37,4,1
38,6,0
39,6,0
40,8,0
41,4,0
42,10,0
43,10,1
44,8,0
45,7,0
46,4,0
47,4,0
48,6,1
49,7,0

