Global time spent: 1.42836
I(P) = 67
Clustering configuration: 
 Partition 0 (4): [ 6 7 21 28 ] 
 Partition 1 (5): [ 3 8 17 27 29 ] 
 Partition 2 (5): [ 12 16 20 22 23 ] 
 Partition 3 (4): [ 9 11 13 14 ] 
 Partition 4 (3): [ 0 15 24 ] 
 Partition 5 (3): [ 2 4 18 ] 
 Partition 6 (3): [ 1 5 25 ] 
 Partition 7 (1): [ 26 ] 
 Partition 8 (2): [ 10 19 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,3,1
2,0,0
3,3,1
4,0,0
5,1,0
6,2,1
7,1,0
8,1,1
9,1,0
10,2,0
11,3,0
12,2,2
13,1,0
14,2,0
15,1,0
16,2,0
17,3,0
18,3,0
19,6,0
20,3,0
21,1,0
22,3,0
23,2,1
24,2,0
25,1,0
26,2,0
27,4,0
28,2,0
29,2,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,2,0
1,3,0
2,2,0
3,1,0
4,3,0
5,3,1
6,2,0
7,1,1
8,1,1
9,2,0
10,2,0
11,1,0
12,1,0
13,3,0
14,1,0
15,3,0
16,4,0
17,1,0
18,4,0
19,0,0
20,0,1
21,3,0
22,2,1
23,2,1
24,2,0
25,0,0
26,2,0
27,4,1
28,4,0
29,1,0

