Global time spent: 1.43981
I(P) = 68
Clustering configuration: 
 Partition 0 (4): [ 10 17 19 23 ] 
 Partition 1 (5): [ 3 9 11 13 14 ] 
 Partition 2 (5): [ 2 4 15 18 20 ] 
 Partition 3 (4): [ 6 7 21 28 ] 
 Partition 4 (3): [ 5 8 29 ] 
 Partition 5 (3): [ 12 16 22 ] 
 Partition 6 (1): [ 26 ] 
 Partition 7 (2): [ 1 25 ] 
 Partition 8 (3): [ 0 24 27 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,3,0
2,0,0
3,1,0
4,0,1
5,2,0
6,2,1
7,1,0
8,1,0
9,1,1
10,2,1
11,3,1
12,2,0
13,1,1
14,1,0
15,1,2
16,2,0
17,5,0
18,2,0
19,5,0
20,2,1
21,1,0
22,3,0
23,3,0
24,2,0
25,1,0
26,2,0
27,5,0
28,2,0
29,2,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,2,0
1,3,0
2,2,1
3,2,3
4,2,1
5,3,0
6,2,0
7,1,1
8,3,0
9,1,0
10,1,0
11,0,0
12,2,0
13,3,0
14,1,0
15,2,1
16,4,0
17,0,1
18,3,1
19,0,0
20,0,0
21,3,0
22,2,0
23,2,0
24,2,0
25,1,0
26,2,0
27,5,0
28,4,0
29,1,0

