Global time spent: 1.72835
I(P) = 117
Clustering configuration: 
 Partition 0 (4): [ 0 3 4 14 ] 
 Partition 1 (5): [ 8 11 13 15 29 ] 
 Partition 2 (4): [ 5 9 17 21 ] 
 Partition 3 (2): [ 6 27 ] 
 Partition 4 (4): [ 2 24 26 28 ] 
 Partition 5 (2): [ 12 23 ] 
 Partition 6 (2): [ 16 19 ] 
 Partition 7 (2): [ 18 20 ] 
 Partition 8 (3): [ 1 10 22 ] 
 Partition 9 (1): [ 7 ] 
 Partition 10 (1): [ 25 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,3,0
1,6,1
2,5,0
3,6,0
4,2,1
5,2,2
6,5,0
7,3,0
8,4,1
9,2,1
10,7,0
11,0,0
12,6,0
13,2,0
14,2,1
15,1,0
16,3,0
17,4,1
18,1,0
19,2,0
20,8,0
21,2,2
22,3,1
23,3,1
24,3,1
25,5,0
26,3,0
27,3,1
28,2,1
29,2,2
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,1
1,3,1
2,4,1
3,6,0
4,5,0
5,4,2
6,2,1
7,5,0
8,1,1
9,5,2
10,3,1
11,2,0
12,3,1
13,3,1
14,0,1
15,3,1
16,7,0
17,4,2
18,3,0
19,5,0
20,3,0
21,3,0
22,5,0
23,4,0
24,5,0
25,3,0
26,3,1
27,1,0
28,2,0
29,3,0

