Global time spent: 1.16945
I(P) = 14
Clustering configuration: 
 Partition 0 (12): [ 2 3 6 15 17 19 24 29 30 35 37 38 ] 
 Partition 1 (9): [ 4 5 7 9 18 21 26 28 36 ] 
 Partition 2 (9): [ 0 10 11 20 23 32 33 34 39 ] 
 Partition 3 (9): [ 1 8 12 13 14 16 22 25 27 ] 
 Partition 4 (1): [ 31 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,1
1,0,0
2,0,0
3,1,0
4,0,0
5,0,0
6,1,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,1,0
14,0,0
15,2,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,1
21,0,0
22,0,1
23,1,0
24,0,1
25,0,0
26,0,0
27,1,1
28,1,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,1,0
37,0,0
38,0,0
39,0,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,1,0
2,0,0
3,0,1
4,0,0
5,0,0
6,0,0
7,1,0
8,0,0
9,0,0
10,0,1
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,1
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,1
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,1,0
32,0,1
33,1,0
34,0,0
35,1,0
36,2,0
37,0,0
38,1,0
39,0,0

