Global time spent: 1.47583
I(P) = 287
Clustering configuration: 
 Partition 0 (23): [ 0 1 2 5 6 7 8 9 10 11 13 14 16 18 20 21 24 26 28 30 32 33 36 ] 
 Partition 1 (10): [ 4 12 15 17 19 23 29 31 35 38 ] 
 Partition 2 (4): [ 3 25 34 37 ] 
 Partition 3 (2): [ 22 27 ] 
 Partition 4 (1): [ 39 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,6,7
1,3,3
2,4,2
3,12,0
4,7,1
5,3,3
6,3,1
7,1,4
8,2,5
9,3,5
10,1,4
11,2,7
12,5,1
13,2,4
14,2,4
15,8,2
16,5,3
17,1,0
18,2,2
19,9,1
20,4,2
21,5,5
22,10,0
23,4,3
24,2,0
25,2,0
26,3,3
27,11,0
28,5,3
29,2,2
30,3,6
31,6,2
32,1,3
33,5,5
34,10,0
35,5,1
36,5,4
37,12,1
38,4,2
39,6,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,3,3
1,5,3
2,3,7
3,7,0
4,5,3
5,4,5
6,3,5
7,3,2
8,1,3
9,6,1
10,0,6
11,4,2
12,4,3
13,5,6
14,6,3
15,6,2
16,4,2
17,9,3
18,3,1
19,6,1
20,8,3
21,3,2
22,2,0
23,6,0
24,3,3
25,9,1
26,5,6
27,9,0
28,3,2
29,7,1
30,5,3
31,9,1
32,3,9
33,3,4
34,4,0
35,2,1
36,3,4
37,4,0
38,7,0
39,4,0

