Global time spent: 4.7384
I(P) = 787
Clustering configuration: 
 Partition 0 (20): [ 0 2 4 6 7 10 12 14 15 25 26 27 37 38 40 41 42 44 47 49 ] 
 Partition 1 (15): [ 1 8 13 18 20 23 28 29 30 33 35 36 39 43 48 ] 
 Partition 2 (12): [ 3 5 9 11 16 17 19 21 31 34 45 46 ] 
 Partition 3 (1): [ 32 ] 
 Partition 4 (2): [ 22 24 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,9,6
1,9,3
2,9,6
3,12,3
4,14,5
5,13,3
6,11,5
7,15,4
8,13,5
9,16,4
10,6,4
11,10,3
12,5,9
13,17,4
14,12,10
15,5,2
16,15,1
17,12,4
18,12,3
19,11,4
20,14,3
21,17,0
22,17,0
23,10,6
24,13,0
25,9,7
26,9,7
27,8,5
28,10,4
29,11,5
30,14,3
31,15,2
32,10,0
33,13,4
34,19,5
35,15,1
36,11,6
37,12,3
38,10,5
39,13,4
40,8,6
41,11,5
42,10,7
43,14,3
44,10,5
45,18,3
46,13,0
47,11,4
48,9,2
49,8,6
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,11,4
1,7,2
2,10,5
3,11,2
4,11,7
5,9,5
6,9,6
7,14,7
8,10,3
9,11,3
10,7,4
11,11,4
12,11,6
13,13,5
14,11,4
15,10,8
16,11,1
17,13,1
18,14,7
19,13,3
20,17,4
21,13,1
22,18,0
23,13,3
24,16,0
25,9,4
26,8,7
27,8,3
28,14,2
29,12,5
30,10,5
31,10,1
32,15,0
33,10,4
34,14,1
35,11,4
36,16,3
37,18,5
38,14,7
39,13,3
40,11,4
41,8,7
42,12,4
43,12,5
44,13,5
45,13,4
46,12,6
47,9,6
48,13,1
49,9,8

