Global time spent: 10.2738
I(P) = 347
Clustering configuration: 
 Partition 0 (4): [ 8 16 21 46 ] 
 Partition 1 (3): [ 3 32 37 ] 
 Partition 2 (4): [ 10 12 40 42 ] 
 Partition 3 (4): [ 28 30 38 49 ] 
 Partition 4 (6): [ 11 31 34 43 44 47 ] 
 Partition 5 (4): [ 27 29 33 35 ] 
 Partition 6 (5): [ 5 9 17 24 45 ] 
 Partition 7 (4): [ 0 19 25 36 ] 
 Partition 8 (2): [ 6 15 ] 
 Partition 9 (3): [ 7 39 48 ] 
 Partition 10 (3): [ 1 13 20 ] 
 Partition 11 (4): [ 4 14 22 26 ] 
 Partition 12 (2): [ 2 41 ] 
 Partition 13 (1): [ 23 ] 
 Partition 14 (1): [ 18 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,3,0
1,7,0
2,4,0
3,5,0
4,11,0
5,5,0
6,10,0
7,7,0
8,6,1
9,7,2
10,3,1
11,3,2
12,4,0
13,8,0
14,5,1
15,4,0
16,7,0
17,8,1
18,5,0
19,7,1
20,5,0
21,10,0
22,12,1
23,6,0
24,3,2
25,6,0
26,4,3
27,2,1
28,5,1
29,5,1
30,6,0
31,4,0
32,4,1
33,9,1
34,6,4
35,8,1
36,4,2
37,5,1
38,7,1
39,7,0
40,4,1
41,8,0
42,6,0
43,10,1
44,7,1
45,8,2
46,6,0
47,9,2
48,8,1
49,7,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,6,1
1,4,0
2,7,0
3,7,1
4,7,2
5,4,2
6,6,0
7,10,1
8,7,0
9,6,1
10,6,1
11,5,2
12,6,0
13,10,0
14,11,1
15,6,0
16,6,1
17,3,3
18,4,0
19,5,1
20,7,0
21,6,0
22,4,1
23,3,0
24,6,1
25,4,1
26,6,1
27,6,1
28,6,0
29,6,1
30,6,1
31,5,3
32,5,1
33,6,1
34,10,1
35,5,1
36,8,0
37,4,0
38,6,1
39,7,0
40,8,0
41,5,0
42,10,1
43,10,1
44,9,1
45,6,0
46,5,0
47,3,2
48,6,0
49,6,0

