Global time spent: 4.09432
I(P) = 350
Clustering configuration: 
 Partition 0 (4): [ 0 6 26 36 ] 
 Partition 1 (6): [ 1 7 13 20 39 48 ] 
 Partition 2 (5): [ 10 12 17 27 43 ] 
 Partition 3 (4): [ 11 23 32 33 ] 
 Partition 4 (3): [ 29 34 45 ] 
 Partition 5 (4): [ 4 14 22 47 ] 
 Partition 6 (5): [ 24 35 38 40 42 ] 
 Partition 7 (4): [ 25 28 30 49 ] 
 Partition 8 (5): [ 8 15 16 21 46 ] 
 Partition 9 (1): [ 18 ] 
 Partition 10 (2): [ 5 9 ] 
 Partition 11 (2): [ 2 19 ] 
 Partition 12 (2): [ 3 37 ] 
 Partition 13 (3): [ 31 41 44 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,4,1
1,6,1
2,3,0
3,6,0
4,11,0
5,7,0
6,10,1
7,4,0
8,6,2
9,8,0
10,2,2
11,5,1
12,5,1
13,8,3
14,6,2
15,3,2
16,7,0
17,9,0
18,5,0
19,9,1
20,5,2
21,10,1
22,11,0
23,5,1
24,3,0
25,7,2
26,2,0
27,3,2
28,5,1
29,6,0
30,6,0
31,8,0
32,5,1
33,9,1
34,4,0
35,7,0
36,3,0
37,5,0
38,7,2
39,6,2
40,4,2
41,8,0
42,6,1
43,12,1
44,8,0
45,7,0
46,5,0
47,10,0
48,5,1
49,7,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,6,0
1,2,1
2,8,1
3,7,0
4,6,1
5,4,0
6,4,0
7,9,3
8,6,0
9,8,0
10,7,1
11,7,0
12,6,1
13,7,0
14,10,0
15,6,2
16,6,2
17,4,3
18,4,0
19,5,0
20,5,1
21,6,1
22,4,0
23,2,1
24,5,1
25,3,1
26,8,1
27,5,0
28,6,0
29,6,0
30,6,1
31,6,0
32,6,2
33,8,1
34,13,0
35,6,3
36,9,1
37,5,0
38,5,0
39,7,3
40,7,0
41,4,0
42,10,1
43,10,1
44,9,0
45,8,0
46,5,0
47,4,1
48,6,1
49,7,1

