Global time spent: 0.754976
I(P) = 76
Clustering configuration: 
 Partition 0 (17): [ 0 5 16 27 32 36 37 51 52 53 56 57 79 82 85 96 97 ] 
 Partition 1 (25): [ 2 6 8 13 14 15 18 21 30 31 39 40 45 47 48 54 60 65 69 72 76 88 90 94 98 ] 
 Partition 2 (16): [ 11 20 24 43 50 58 59 62 64 66 71 78 81 84 86 99 ] 
 Partition 3 (10): [ 3 12 23 33 41 44 49 70 92 93 ] 
 Partition 4 (8): [ 10 28 29 61 63 77 80 91 ] 
 Partition 5 (4): [ 35 38 46 67 ] 
 Partition 6 (2): [ 9 42 ] 
 Partition 7 (2): [ 1 87 ] 
 Partition 8 (2): [ 4 26 ] 
 Partition 9 (5): [ 7 19 55 73 95 ] 
 Partition 10 (2): [ 17 89 ] 
 Partition 11 (1): [ 25 ] 
 Partition 12 (1): [ 83 ] 
 Partition 13 (2): [ 22 68 ] 
 Partition 14 (1): [ 34 ] 
 Partition 15 (1): [ 74 ] 
 Partition 16 (1): [ 75 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,0,0
2,1,1
3,1,0
4,1,0
5,2,0
6,2,0
7,0,0
8,2,1
9,1,0
10,1,0
11,1,0
12,0,0
13,1,0
14,0,0
15,0,0
16,1,0
17,1,0
18,1,0
19,1,0
20,0,0
21,0,0
22,1,0
23,0,0
24,0,0
25,0,0
26,1,0
27,1,0
28,0,0
29,1,0
30,0,0
31,2,0
32,0,0
33,1,0
34,1,0
35,0,0
36,1,0
37,0,0
38,0,0
39,1,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,2,0
46,0,0
47,2,0
48,1,0
49,2,0
50,0,0
51,0,0
52,1,0
53,1,0
54,0,1
55,0,0
56,1,1
57,0,0
58,3,0
59,0,0
60,1,1
61,1,0
62,1,0
63,0,0
64,1,0
65,0,1
66,2,0
67,0,0
68,1,0
69,0,0
70,0,0
71,0,0
72,0,1
73,2,0
74,1,0
75,0,0
76,1,0
77,1,0
78,1,0
79,0,0
80,1,0
81,1,0
82,1,0
83,1,0
84,0,0
85,1,0
86,0,0
87,1,0
88,1,0
89,0,0
90,0,0
91,1,0
92,0,0
93,0,0
94,1,0
95,2,0
96,1,0
97,1,1
98,1,0
99,0,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,0
1,0,0
2,1,1
3,1,0
4,1,0
5,2,0
6,2,0
7,0,0
8,2,1
9,1,0
10,1,0
11,1,0
12,0,0
13,1,0
14,0,0
15,0,0
16,1,0
17,1,0
18,1,0
19,1,0
20,0,0
21,0,0
22,1,0
23,0,0
24,0,0
25,0,0
26,1,0
27,1,0
28,0,0
29,1,0
30,0,0
31,2,0
32,0,0
33,1,0
34,1,0
35,0,0
36,1,0
37,0,0
38,0,0
39,1,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,2,0
46,0,0
47,2,0
48,1,0
49,2,0
50,0,0
51,0,0
52,1,0
53,1,0
54,0,1
55,0,0
56,1,1
57,0,0
58,3,0
59,0,0
60,1,1
61,1,0
62,1,0
63,0,0
64,1,0
65,0,1
66,2,0
67,0,0
68,1,0
69,0,0
70,0,0
71,0,0
72,0,1
73,2,0
74,1,0
75,0,0
76,1,0
77,1,0
78,1,0
79,0,0
80,1,0
81,1,0
82,1,0
83,1,0
84,0,0
85,1,0
86,0,0
87,1,0
88,1,0
89,0,0
90,0,0
91,1,0
92,0,0
93,0,0
94,1,0
95,2,0
96,1,0
97,1,1
98,1,0
99,0,0

Cluster contribution to imbalance analysis (cluster-cluster matrix):
2, 5, 0, 1, 3, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 
5, 6, 5, 1, 2, 0, 0, 0, 2, 2, 0, 0, 1, 1, 1, 0, 0, 
0, 5, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 

