Global time spent: 0.91591
I(P) = 84
Clustering configuration: 
 Partition 0 (28): [ 0 2 3 4 10 18 19 23 26 27 28 32 44 45 52 55 57 66 69 71 72 80 82 84 89 90 95 97 ] 
 Partition 1 (23): [ 5 6 7 9 11 21 24 47 50 51 54 58 59 60 61 63 65 67 73 76 94 98 99 ] 
 Partition 2 (17): [ 8 12 14 16 29 30 33 36 39 56 62 64 74 75 79 83 92 ] 
 Partition 3 (13): [ 15 22 31 37 42 48 68 77 78 85 88 91 96 ] 
 Partition 4 (12): [ 1 17 20 41 43 49 53 70 81 86 87 93 ] 
 Partition 5 (4): [ 13 34 38 46 ] 
 Partition 6 (1): [ 25 ] 
 Partition 7 (1): [ 35 ] 
 Partition 8 (1): [ 40 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,0,0
2,0,0
3,0,0
4,1,1
5,1,0
6,2,0
7,0,0
8,1,0
9,2,0
10,0,0
11,2,0
12,1,0
13,1,0
14,0,1
15,1,0
16,1,0
17,1,0
18,1,0
19,2,0
20,0,0
21,0,0
22,1,0
23,1,0
24,0,0
25,0,0
26,0,0
27,1,0
28,1,0
29,1,0
30,3,0
31,1,1
32,0,1
33,1,0
34,0,0
35,0,0
36,0,0
37,1,0
38,0,0
39,0,0
40,0,0
41,0,0
42,1,0
43,0,0
44,0,1
45,2,0
46,0,0
47,3,0
48,1,0
49,2,0
50,0,0
51,2,0
52,0,0
53,1,0
54,2,0
55,0,0
56,0,1
57,2,0
58,3,0
59,1,0
60,1,0
61,1,0
62,2,0
63,0,0
64,0,0
65,1,0
66,2,0
67,0,0
68,1,0
69,0,1
70,0,0
71,2,0
72,1,0
73,2,0
74,0,0
75,0,0
76,0,0
77,0,0
78,2,0
79,0,0
80,0,0
81,2,0
82,1,0
83,1,0
84,1,0
85,0,0
86,0,0
87,0,0
88,2,0
89,1,0
90,0,0
91,1,1
92,0,0
93,1,0
94,0,0
95,1,0
96,0,0
97,0,0
98,1,0
99,1,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,0,0
2,0,0
3,0,0
4,1,1
5,1,0
6,2,0
7,0,0
8,1,0
9,2,0
10,0,0
11,2,0
12,1,0
13,1,0
14,0,1
15,1,0
16,1,0
17,1,0
18,1,0
19,2,0
20,0,0
21,0,0
22,1,0
23,1,0
24,0,0
25,0,0
26,0,0
27,1,0
28,1,0
29,1,0
30,3,0
31,1,1
32,0,1
33,1,0
34,0,0
35,0,0
36,0,0
37,1,0
38,0,0
39,0,0
40,0,0
41,0,0
42,1,0
43,0,0
44,0,1
45,2,0
46,0,0
47,3,0
48,1,0
49,2,0
50,0,0
51,2,0
52,0,0
53,1,0
54,2,0
55,0,0
56,0,1
57,2,0
58,3,0
59,1,0
60,1,0
61,1,0
62,2,0
63,0,0
64,0,0
65,1,0
66,2,0
67,0,0
68,1,0
69,0,1
70,0,0
71,2,0
72,1,0
73,2,0
74,0,0
75,0,0
76,0,0
77,0,0
78,2,0
79,0,0
80,0,0
81,2,0
82,1,0
83,1,0
84,1,0
85,0,0
86,0,0
87,0,0
88,2,0
89,1,0
90,0,0
91,1,1
92,0,0
93,1,0
94,0,0
95,1,0
96,0,0
97,0,0
98,1,0
99,1,0

Cluster contribution to imbalance analysis (cluster-cluster matrix):
4, 10, 2, 6, 2, 0, 0, 0, 0, 
10, 0, 7, 4, 3, 1, 0, 0, 0, 
2, 7, 2, 1, 1, 0, 0, 0, 0, 
6, 4, 1, 2, 1, 0, 0, 0, 0, 
2, 3, 1, 1, 0, 0, 0, 0, 0, 
0, 1, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 

