Global time spent: 0.95853
I(P) = 246
Clustering configuration: 
 Partition 0 (21): [ 1 4 12 15 22 26 28 34 42 45 49 51 55 57 68 75 76 85 93 96 98 ] 
 Partition 1 (14): [ 6 10 24 32 37 53 56 65 70 74 79 86 91 92 ] 
 Partition 2 (12): [ 7 20 21 31 41 43 54 59 62 83 90 99 ] 
 Partition 3 (12): [ 5 9 23 30 44 50 58 61 63 64 69 95 ] 
 Partition 4 (11): [ 0 8 14 19 29 39 46 48 66 81 88 ] 
 Partition 5 (11): [ 13 17 25 52 60 67 71 72 73 78 80 ] 
 Partition 6 (6): [ 11 16 33 38 47 77 ] 
 Partition 7 (3): [ 40 82 84 ] 
 Partition 8 (4): [ 2 3 94 97 ] 
 Partition 9 (2): [ 18 35 ] 
 Partition 10 (2): [ 27 87 ] 
 Partition 11 (2): [ 36 89 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,1
1,2,1
2,0,0
3,1,0
4,2,0
5,2,1
6,2,0
7,3,0
8,4,0
9,2,1
10,3,0
11,4,0
12,2,0
13,3,0
14,1,1
15,2,0
16,4,0
17,6,0
18,0,0
19,3,0
20,3,1
21,2,0
22,4,0
23,1,0
24,4,0
25,1,1
26,2,0
27,1,0
28,0,2
29,2,0
30,3,1
31,2,0
32,1,0
33,3,0
34,0,1
35,2,0
36,3,0
37,1,1
38,1,0
39,3,0
40,0,0
41,2,0
42,0,1
43,6,0
44,4,0
45,0,0
46,3,0
47,2,0
48,3,0
49,2,0
50,3,0
51,5,1
52,5,0
53,4,0
54,2,0
55,3,1
56,1,1
57,4,1
58,4,1
59,2,0
60,1,1
61,5,0
62,5,0
63,0,0
64,2,0
65,2,0
66,3,0
67,3,1
68,2,0
69,1,0
70,3,0
71,2,0
72,1,1
73,2,0
74,4,0
75,4,0
76,3,1
77,1,0
78,2,0
79,1,2
80,2,0
81,1,0
82,0,0
83,2,0
84,3,0
85,2,0
86,2,0
87,3,0
88,2,0
89,0,0
90,0,0
91,2,0
92,1,0
93,2,1
94,0,0
95,1,0
96,5,0
97,1,0
98,1,0
99,2,1
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,1,1
1,2,1
2,0,0
3,1,0
4,2,0
5,2,1
6,2,0
7,3,0
8,4,0
9,2,1
10,3,0
11,4,0
12,2,0
13,3,0
14,1,1
15,2,0
16,4,0
17,6,0
18,0,0
19,3,0
20,3,1
21,2,0
22,4,0
23,1,0
24,4,0
25,1,1
26,2,0
27,1,0
28,0,2
29,2,0
30,3,1
31,2,0
32,1,0
33,3,0
34,0,1
35,2,0
36,3,0
37,1,1
38,1,0
39,3,0
40,0,0
41,2,0
42,0,1
43,6,0
44,4,0
45,0,0
46,3,0
47,2,0
48,3,0
49,2,0
50,3,0
51,5,1
52,5,0
53,4,0
54,2,0
55,3,1
56,1,1
57,4,1
58,4,1
59,2,0
60,1,1
61,5,0
62,5,0
63,0,0
64,2,0
65,2,0
66,3,0
67,3,1
68,2,0
69,1,0
70,3,0
71,2,0
72,1,1
73,2,0
74,4,0
75,4,0
76,3,1
77,1,0
78,2,0
79,1,2
80,2,0
81,1,0
82,0,0
83,2,0
84,3,0
85,2,0
86,2,0
87,3,0
88,2,0
89,0,0
90,0,0
91,2,0
92,1,0
93,2,1
94,0,0
95,1,0
96,5,0
97,1,0
98,1,0
99,2,1

Cluster contribution to imbalance analysis (cluster-cluster matrix):
10, 7, 6, 12, 8, 11, 1, 1, 0, 0, 1, 0, 
7, 4, 6, 5, 2, 6, 2, 1, 0, 1, 1, 0, 
6, 6, 2, 2, 6, 3, 7, 0, 0, 0, 0, 1, 
12, 5, 2, 4, 3, 4, 1, 0, 0, 0, 0, 1, 
8, 2, 6, 3, 2, 2, 3, 0, 0, 1, 1, 0, 
11, 6, 3, 4, 2, 4, 1, 0, 1, 0, 0, 0, 
1, 2, 7, 1, 3, 1, 0, 0, 0, 0, 0, 0, 
1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 

