Global time spent: 0.806346
I(P) = 640
Clustering configuration: 
 Partition 0 (66): [ 6 8 9 11 12 13 14 15 19 20 23 24 25 29 30 32 35 36 37 39 42 45 46 47 50 52 54 55 56 58 59 62 63 64 65 72 73 74 75 78 79 80 81 84 85 87 88 92 94 95 96 98 104 106 109 114 115 117 118 122 123 126 139 147 148 149 ] 
 Partition 1 (49): [ 0 1 2 4 5 7 10 16 17 34 41 44 48 49 51 53 57 60 61 67 69 70 76 77 82 90 93 97 99 100 101 102 105 110 116 119 124 125 127 129 130 133 134 135 136 141 142 144 145 ] 
 Partition 2 (20): [ 18 21 27 31 33 43 66 83 86 89 103 113 120 121 128 131 132 137 140 143 ] 
 Partition 3 (15): [ 3 22 26 28 38 40 68 71 91 107 108 111 112 138 146 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,6,0
1,2,2
2,2,2
3,5,0
4,3,1
5,3,1
6,1,0
7,2,1
8,5,0
9,2,2
10,2,0
11,2,3
12,4,1
13,4,1
14,2,2
15,3,1
16,4,1
17,5,1
18,1,1
19,4,1
20,3,1
21,2,1
22,3,1
23,4,4
24,5,0
25,1,2
26,4,0
27,2,0
28,1,0
29,0,1
30,0,1
31,3,0
32,2,2
33,4,0
34,2,0
35,5,2
36,1,2
37,0,1
38,3,1
39,2,1
40,6,0
41,2,4
42,3,2
43,6,1
44,2,1
45,4,1
46,1,3
47,6,1
48,1,1
49,6,1
50,6,3
51,2,2
52,2,2
53,3,3
54,3,2
55,2,2
56,4,2
57,2,0
58,2,0
59,2,2
60,3,1
61,3,1
62,4,1
63,2,0
64,3,2
65,4,3
66,4,1
67,3,1
68,1,0
69,1,0
70,4,1
71,2,0
72,5,1
73,5,0
74,3,4
75,0,3
76,3,2
77,2,3
78,1,1
79,3,1
80,4,0
81,2,0
82,3,2
83,4,0
84,2,1
85,4,1
86,3,1
87,4,0
88,1,1
89,0,0
90,4,1
91,4,0
92,1,5
93,4,3
94,2,0
95,5,1
96,4,1
97,2,1
98,3,4
99,4,0
100,2,1
101,2,2
102,4,0
103,3,0
104,1,1
105,3,2
106,0,4
107,4,0
108,6,0
109,2,2
110,2,3
111,5,0
112,1,0
113,5,1
114,2,2
115,7,0
116,2,0
117,2,0
118,2,2
119,2,1
120,4,0
121,5,0
122,1,0
123,5,2
124,6,1
125,2,2
126,4,2
127,8,1
128,4,0
129,4,3
130,3,1
131,4,1
132,5,0
133,1,1
134,2,1
135,2,2
136,4,1
137,9,0
138,8,0
139,3,0
140,4,1
141,6,0
142,5,2
143,5,2
144,5,1
145,2,0
146,2,0
147,1,0
148,6,2
149,1,3
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,6,0
1,2,2
2,2,2
3,5,0
4,3,1
5,3,1
6,1,0
7,2,1
8,5,0
9,2,2
10,2,0
11,2,3
12,4,1
13,4,1
14,2,2
15,3,1
16,4,1
17,5,1
18,1,1
19,4,1
20,3,1
21,2,1
22,3,1
23,4,4
24,5,0
25,1,2
26,4,0
27,2,0
28,1,0
29,0,1
30,0,1
31,3,0
32,2,2
33,4,0
34,2,0
35,5,2
36,1,2
37,0,1
38,3,1
39,2,1
40,6,0
41,2,4
42,3,2
43,6,1
44,2,1
45,4,1
46,1,3
47,6,1
48,1,1
49,6,1
50,6,3
51,2,2
52,2,2
53,3,3
54,3,2
55,2,2
56,4,2
57,2,0
58,2,0
59,2,2
60,3,1
61,3,1
62,4,1
63,2,0
64,3,2
65,4,3
66,4,1
67,3,1
68,1,0
69,1,0
70,4,1
71,2,0
72,5,1
73,5,0
74,3,4
75,0,3
76,3,2
77,2,3
78,1,1
79,3,1
80,4,0
81,2,0
82,3,2
83,4,0
84,2,1
85,4,1
86,3,1
87,4,0
88,1,1
89,0,0
90,4,1
91,4,0
92,1,5
93,4,3
94,2,0
95,5,1
96,4,1
97,2,1
98,3,4
99,4,0
100,2,1
101,2,2
102,4,0
103,3,0
104,1,1
105,3,2
106,0,4
107,4,0
108,6,0
109,2,2
110,2,3
111,5,0
112,1,0
113,5,1
114,2,2
115,7,0
116,2,0
117,2,0
118,2,2
119,2,1
120,4,0
121,5,0
122,1,0
123,5,2
124,6,1
125,2,2
126,4,2
127,8,1
128,4,0
129,4,3
130,3,1
131,4,1
132,5,0
133,1,1
134,2,1
135,2,2
136,4,1
137,9,0
138,8,0
139,3,0
140,4,1
141,6,0
142,5,2
143,5,2
144,5,1
145,2,0
146,2,0
147,1,0
148,6,2
149,1,3

Cluster contribution to imbalance analysis (cluster-cluster matrix):
98, 107, 45, 32, 
107, 62, 27, 18, 
45, 27, 10, 5, 
32, 18, 5, 2, 

