Global time spent: 1.51622
I(P) = 644
Clustering configuration: 
 Partition 0 (61): [ 0 2 3 4 5 8 11 12 15 16 19 20 24 29 32 33 36 40 42 43 44 48 49 52 56 57 61 64 67 69 70 73 74 76 78 80 81 82 94 98 99 102 110 111 112 113 118 120 123 126 127 128 129 131 132 133 140 141 147 148 149 ] 
 Partition 1 (62): [ 1 6 7 10 13 14 17 23 25 30 34 35 37 39 45 46 47 50 51 53 54 55 58 59 62 63 65 66 71 72 77 84 85 87 88 91 95 96 97 100 101 103 105 107 108 114 115 116 117 119 121 124 130 134 135 136 137 138 139 142 143 145 ] 
 Partition 2 (16): [ 9 22 26 27 60 68 79 83 89 90 93 104 106 109 144 146 ] 
 Partition 3 (7): [ 18 28 31 38 86 122 125 ] 
 Partition 4 (2): [ 75 92 ] 
 Partition 5 (1): [ 21 ] 
 Partition 6 (1): [ 41 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,6,2
1,3,0
2,2,1
3,4,2
4,1,3
5,5,0
6,5,1
7,2,2
8,5,0
9,6,0
10,2,0
11,4,0
12,2,3
13,4,3
14,2,0
15,4,1
16,3,5
17,1,2
18,2,0
19,1,1
20,4,1
21,4,0
22,3,0
23,7,1
24,6,1
25,2,0
26,3,0
27,4,0
28,1,0
29,1,0
30,1,0
31,4,0
32,2,0
33,2,1
34,1,0
35,5,1
36,2,2
37,1,2
38,4,0
39,2,1
40,3,2
41,5,0
42,4,0
43,3,2
44,0,2
45,4,0
46,3,0
47,3,2
48,2,1
49,2,5
50,4,4
51,2,1
52,5,0
53,3,2
54,3,1
55,2,1
56,4,3
57,1,1
58,2,1
59,4,2
60,4,0
61,4,1
62,5,1
63,4,0
64,4,0
65,6,0
66,3,2
67,1,2
68,3,0
69,2,0
70,5,0
71,0,3
72,5,3
73,6,2
74,4,4
75,3,0
76,3,1
77,5,0
78,1,0
79,5,0
80,3,0
81,0,1
82,3,0
83,4,0
84,1,3
85,3,1
86,3,0
87,6,0
88,3,0
89,2,0
90,5,0
91,3,2
92,5,0
93,6,0
94,4,0
95,4,0
96,5,2
97,2,2
98,4,1
99,3,0
100,1,0
101,1,2
102,3,2
103,2,2
104,5,0
105,1,2
106,3,0
107,1,1
108,1,1
109,6,0
110,4,3
111,3,1
112,1,0
113,1,2
114,2,1
115,6,0
116,3,1
117,1,1
118,3,1
119,3,3
120,2,1
121,5,2
122,2,0
123,7,0
124,4,3
125,6,0
126,3,1
127,3,1
128,2,2
129,4,1
130,3,3
131,2,1
132,3,1
133,4,0
134,2,2
135,0,1
136,8,1
137,5,3
138,7,3
139,2,3
140,2,0
141,7,0
142,3,2
143,3,3
144,6,0
145,2,0
146,2,0
147,2,4
148,5,2
149,3,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,6,2
1,3,0
2,2,1
3,4,2
4,1,3
5,5,0
6,5,1
7,2,2
8,5,0
9,6,0
10,2,0
11,4,0
12,2,3
13,4,3
14,2,0
15,4,1
16,3,5
17,1,2
18,2,0
19,1,1
20,4,1
21,4,0
22,3,0
23,7,1
24,6,1
25,2,0
26,3,0
27,4,0
28,1,0
29,1,0
30,1,0
31,4,0
32,2,0
33,2,1
34,1,0
35,5,1
36,2,2
37,1,2
38,4,0
39,2,1
40,3,2
41,5,0
42,4,0
43,3,2
44,0,2
45,4,0
46,3,0
47,3,2
48,2,1
49,2,5
50,4,4
51,2,1
52,5,0
53,3,2
54,3,1
55,2,1
56,4,3
57,1,1
58,2,1
59,4,2
60,4,0
61,4,1
62,5,1
63,4,0
64,4,0
65,6,0
66,3,2
67,1,2
68,3,0
69,2,0
70,5,0
71,0,3
72,5,3
73,6,2
74,4,4
75,3,0
76,3,1
77,5,0
78,1,0
79,5,0
80,3,0
81,0,1
82,3,0
83,4,0
84,1,3
85,3,1
86,3,0
87,6,0
88,3,0
89,2,0
90,5,0
91,3,2
92,5,0
93,6,0
94,4,0
95,4,0
96,5,2
97,2,2
98,4,1
99,3,0
100,1,0
101,1,2
102,3,2
103,2,2
104,5,0
105,1,2
106,3,0
107,1,1
108,1,1
109,6,0
110,4,3
111,3,1
112,1,0
113,1,2
114,2,1
115,6,0
116,3,1
117,1,1
118,3,1
119,3,3
120,2,1
121,5,2
122,2,0
123,7,0
124,4,3
125,6,0
126,3,1
127,3,1
128,2,2
129,4,1
130,3,3
131,2,1
132,3,1
133,4,0
134,2,2
135,0,1
136,8,1
137,5,3
138,7,3
139,2,3
140,2,0
141,7,0
142,3,2
143,3,3
144,6,0
145,2,0
146,2,0
147,2,4
148,5,2
149,3,0

Cluster contribution to imbalance analysis (cluster-cluster matrix):
74, 140, 30, 10, 6, 1, 2, 
140, 86, 33, 9, 1, 3, 3, 
30, 33, 0, 3, 1, 0, 0, 
10, 9, 3, 0, 0, 0, 0, 
6, 1, 1, 0, 0, 0, 0, 
1, 3, 0, 0, 0, 0, 0, 
2, 3, 0, 0, 0, 0, 0, 

