Global time spent: 1.63647
I(P) = 3576
Clustering configuration: 
 Partition 0 (150): [ 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,20
1,0,28
2,0,22
3,0,21
4,0,26
5,0,21
6,0,18
7,0,20
8,0,25
9,0,31
10,0,20
11,0,20
12,0,27
13,0,17
14,0,24
15,0,15
16,0,24
17,0,19
18,0,26
19,0,24
20,0,23
21,0,31
22,0,25
23,0,20
24,0,24
25,0,24
26,0,29
27,0,18
28,0,16
29,0,32
30,0,21
31,0,29
32,0,21
33,0,21
34,0,24
35,0,30
36,0,21
37,0,25
38,0,22
39,0,22
40,0,28
41,0,25
42,0,22
43,0,28
44,0,22
45,0,22
46,0,20
47,0,24
48,0,30
49,0,28
50,0,23
51,0,22
52,0,25
53,0,18
54,0,24
55,0,25
56,0,19
57,0,21
58,0,27
59,0,26
60,0,28
61,0,27
62,0,33
63,0,25
64,0,14
65,0,17
66,0,24
67,0,21
68,0,23
69,0,24
70,0,23
71,0,24
72,0,12
73,0,22
74,0,21
75,0,27
76,0,21
77,0,20
78,0,31
79,0,26
80,0,26
81,0,30
82,0,15
83,0,20
84,0,23
85,0,26
86,0,32
87,0,22
88,0,26
89,0,23
90,0,27
91,0,23
92,0,35
93,0,23
94,0,26
95,0,24
96,0,25
97,0,23
98,0,27
99,0,23
100,0,23
101,0,28
102,0,27
103,0,23
104,0,27
105,0,24
106,0,20
107,0,25
108,0,21
109,0,22
110,0,21
111,0,21
112,0,19
113,0,19
114,0,27
115,0,26
116,0,19
117,0,22
118,0,29
119,0,25
120,0,20
121,0,21
122,0,32
123,0,25
124,0,29
125,0,28
126,0,31
127,0,16
128,0,19
129,0,25
130,0,18
131,0,24
132,0,19
133,0,26
134,0,25
135,0,19
136,0,29
137,0,23
138,0,24
139,0,23
140,0,21
141,0,34
142,0,29
143,0,23
144,0,30
145,0,28
146,0,22
147,0,21
148,0,34
149,0,23
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,20
1,0,28
2,0,22
3,0,21
4,0,26
5,0,21
6,0,18
7,0,20
8,0,25
9,0,31
10,0,20
11,0,20
12,0,27
13,0,17
14,0,24
15,0,15
16,0,24
17,0,19
18,0,26
19,0,24
20,0,23
21,0,31
22,0,25
23,0,20
24,0,24
25,0,24
26,0,29
27,0,18
28,0,16
29,0,32
30,0,21
31,0,29
32,0,21
33,0,21
34,0,24
35,0,30
36,0,21
37,0,25
38,0,22
39,0,22
40,0,28
41,0,25
42,0,22
43,0,28
44,0,22
45,0,22
46,0,20
47,0,24
48,0,30
49,0,28
50,0,23
51,0,22
52,0,25
53,0,18
54,0,24
55,0,25
56,0,19
57,0,21
58,0,27
59,0,26
60,0,28
61,0,27
62,0,33
63,0,25
64,0,14
65,0,17
66,0,24
67,0,21
68,0,23
69,0,24
70,0,23
71,0,24
72,0,12
73,0,22
74,0,21
75,0,27
76,0,21
77,0,20
78,0,31
79,0,26
80,0,26
81,0,30
82,0,15
83,0,20
84,0,23
85,0,26
86,0,32
87,0,22
88,0,26
89,0,23
90,0,27
91,0,23
92,0,35
93,0,23
94,0,26
95,0,24
96,0,25
97,0,23
98,0,27
99,0,23
100,0,23
101,0,28
102,0,27
103,0,23
104,0,27
105,0,24
106,0,20
107,0,25
108,0,21
109,0,22
110,0,21
111,0,21
112,0,19
113,0,19
114,0,27
115,0,26
116,0,19
117,0,22
118,0,29
119,0,25
120,0,20
121,0,21
122,0,32
123,0,25
124,0,29
125,0,28
126,0,31
127,0,16
128,0,19
129,0,25
130,0,18
131,0,24
132,0,19
133,0,26
134,0,25
135,0,19
136,0,29
137,0,23
138,0,24
139,0,23
140,0,21
141,0,34
142,0,29
143,0,23
144,0,30
145,0,28
146,0,22
147,0,21
148,0,34
149,0,23

Cluster contribution to imbalance analysis (cluster-cluster matrix):
3576, 

