Global time spent: 1.32853
I(P) = 2916
Clustering configuration: 
 Partition 0 (56): [ 0 1 3 6 8 9 11 14 16 17 25 26 33 35 38 39 40 44 46 49 50 53 57 60 61 67 80 85 87 89 97 98 99 102 104 105 107 109 116 118 123 126 139 140 148 151 157 158 161 162 163 164 172 175 181 190 ] 
 Partition 1 (76): [ 2 5 10 12 13 18 22 24 30 32 37 41 43 45 47 48 51 54 55 62 63 65 69 73 75 77 78 79 83 86 90 91 93 95 96 101 103 108 110 111 115 119 120 121 122 124 125 127 129 131 132 133 137 143 144 145 147 149 155 165 166 167 168 169 173 176 177 179 180 182 183 184 188 191 192 197 ] 
 Partition 2 (20): [ 7 19 52 59 68 70 71 82 100 106 114 117 146 154 170 178 186 187 189 194 ] 
 Partition 3 (34): [ 4 15 21 23 27 28 31 34 56 58 64 74 81 88 92 94 112 113 128 130 134 136 138 142 152 153 156 159 160 171 185 193 196 199 ] 
 Partition 4 (13): [ 20 29 36 66 72 76 84 135 141 150 174 195 198 ] 
 Partition 5 (1): [ 42 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,10,6
1,17,2
2,13,4
3,13,3
4,18,0
5,9,6
6,14,4
7,15,0
8,14,4
9,10,2
10,10,6
11,13,4
12,7,2
13,15,0
14,10,3
15,11,2
16,12,3
17,15,4
18,10,6
19,6,0
20,11,0
21,11,1
22,15,5
23,8,3
24,8,5
25,8,1
26,12,1
27,15,0
28,19,0
29,12,0
30,10,9
31,10,0
32,11,5
33,13,3
34,10,3
35,14,2
36,13,0
37,8,6
38,19,1
39,12,4
40,10,4
41,8,4
42,12,0
43,12,3
44,12,4
45,10,2
46,13,2
47,8,7
48,14,6
49,21,1
50,11,6
51,10,3
52,13,1
53,14,0
54,13,5
55,13,4
56,12,3
57,9,2
58,10,2
59,6,1
60,8,1
61,7,0
62,11,6
63,11,8
64,13,2
65,7,6
66,16,0
67,13,4
68,20,1
69,18,8
70,10,3
71,11,0
72,18,0
73,9,6
74,16,2
75,9,7
76,14,0
77,5,8
78,9,3
79,7,9
80,11,2
81,20,1
82,16,0
83,8,6
84,15,0
85,6,1
86,8,5
87,10,1
88,15,0
89,12,1
90,14,4
91,14,5
92,13,1
93,8,2
94,8,2
95,9,7
96,16,5
97,5,2
98,13,4
99,11,3
100,11,3
101,10,7
102,9,2
103,12,2
104,13,2
105,16,0
106,14,0
107,14,1
108,12,3
109,10,4
110,9,2
111,7,5
112,12,1
113,10,5
114,19,0
115,14,5
116,14,3
117,8,0
118,14,3
119,9,6
120,13,4
121,9,6
122,10,6
123,14,1
124,9,4
125,7,6
126,14,2
127,5,3
128,11,1
129,8,7
130,13,3
131,7,7
132,5,4
133,10,7
134,15,0
135,15,0
136,8,1
137,14,5
138,15,3
139,13,5
140,11,4
141,13,1
142,14,0
143,8,4
144,10,6
145,11,6
146,10,0
147,9,5
148,10,3
149,10,6
150,17,0
151,10,6
152,10,1
153,15,2
154,9,0
155,7,5
156,11,2
157,12,4
158,14,3
159,15,3
160,10,1
161,7,2
162,9,2
163,8,3
164,13,4
165,14,6
166,9,6
167,15,5
168,14,3
169,10,4
170,13,0
171,14,1
172,15,3
173,10,2
174,15,0
175,7,4
176,8,6
177,12,3
178,15,0
179,3,5
180,13,1
181,11,4
182,14,8
183,8,4
184,9,6
185,12,0
186,14,0
187,15,1
188,7,5
189,9,3
190,11,2
191,10,4
192,6,9
193,19,1
194,8,1
195,14,1
196,16,2
197,13,5
198,14,2
199,12,1
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,10,6
1,17,2
2,13,4
3,13,3
4,18,0
5,9,6
6,14,4
7,15,0
8,14,4
9,10,2
10,10,6
11,13,4
12,7,2
13,15,0
14,10,3
15,11,2
16,12,3
17,15,4
18,10,6
19,6,0
20,11,0
21,11,1
22,15,5
23,8,3
24,8,5
25,8,1
26,12,1
27,15,0
28,19,0
29,12,0
30,10,9
31,10,0
32,11,5
33,13,3
34,10,3
35,14,2
36,13,0
37,8,6
38,19,1
39,12,4
40,10,4
41,8,4
42,12,0
43,12,3
44,12,4
45,10,2
46,13,2
47,8,7
48,14,6
49,21,1
50,11,6
51,10,3
52,13,1
53,14,0
54,13,5
55,13,4
56,12,3
57,9,2
58,10,2
59,6,1
60,8,1
61,7,0
62,11,6
63,11,8
64,13,2
65,7,6
66,16,0
67,13,4
68,20,1
69,18,8
70,10,3
71,11,0
72,18,0
73,9,6
74,16,2
75,9,7
76,14,0
77,5,8
78,9,3
79,7,9
80,11,2
81,20,1
82,16,0
83,8,6
84,15,0
85,6,1
86,8,5
87,10,1
88,15,0
89,12,1
90,14,4
91,14,5
92,13,1
93,8,2
94,8,2
95,9,7
96,16,5
97,5,2
98,13,4
99,11,3
100,11,3
101,10,7
102,9,2
103,12,2
104,13,2
105,16,0
106,14,0
107,14,1
108,12,3
109,10,4
110,9,2
111,7,5
112,12,1
113,10,5
114,19,0
115,14,5
116,14,3
117,8,0
118,14,3
119,9,6
120,13,4
121,9,6
122,10,6
123,14,1
124,9,4
125,7,6
126,14,2
127,5,3
128,11,1
129,8,7
130,13,3
131,7,7
132,5,4
133,10,7
134,15,0
135,15,0
136,8,1
137,14,5
138,15,3
139,13,5
140,11,4
141,13,1
142,14,0
143,8,4
144,10,6
145,11,6
146,10,0
147,9,5
148,10,3
149,10,6
150,17,0
151,10,6
152,10,1
153,15,2
154,9,0
155,7,5
156,11,2
157,12,4
