Global time spent: 1.34628
I(P) = 2938
Clustering configuration: 
 Partition 0 (64): [ 5 7 10 16 17 19 22 26 37 38 39 40 41 48 49 51 55 59 60 62 65 67 68 70 71 74 75 83 91 93 95 96 97 100 101 103 105 110 116 120 122 127 129 132 137 139 146 147 148 151 154 161 165 166 167 168 169 173 177 178 180 183 189 197 ] 
 Partition 1 (52): [ 1 6 9 11 12 24 29 32 35 43 45 47 53 54 56 58 61 63 72 80 82 86 87 88 90 92 94 102 107 108 109 111 114 115 118 119 125 126 131 149 153 155 157 164 176 182 184 185 186 190 191 192 ] 
 Partition 2 (47): [ 2 4 13 15 21 25 27 28 30 31 34 44 46 52 57 64 69 76 79 84 89 98 104 117 121 123 128 130 133 138 141 142 143 144 145 150 158 160 162 171 172 175 181 188 193 194 196 ] 
 Partition 3 (23): [ 0 3 8 18 20 23 36 66 77 78 81 106 112 113 124 136 140 152 159 179 187 195 199 ] 
 Partition 4 (3): [ 73 134 163 ] 
 Partition 5 (7): [ 33 42 50 99 135 156 174 ] 
 Partition 6 (1): [ 198 ] 
 Partition 7 (3): [ 14 85 170 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,15,3
1,15,3
2,13,5
3,20,0
4,15,2
5,12,2
6,14,3
7,8,5
8,18,0
9,14,2
10,9,4
11,12,2
12,13,1
13,13,1
14,15,0
15,8,3
16,11,3
17,13,5
18,16,1
19,6,2
20,11,1
21,11,2
22,16,4
23,11,0
24,11,3
25,9,2
26,12,0
27,9,1
28,18,3
29,9,3
30,17,2
31,10,2
32,10,4
33,22,0
34,8,1
35,15,3
36,14,1
37,10,4
38,15,5
39,11,4
40,8,3
41,11,4
42,11,0
43,15,2
44,14,4
45,10,1
46,13,2
47,9,3
48,15,4
49,14,2
50,20,0
51,12,5
52,9,1
53,19,2
54,14,3
55,15,3
56,9,2
57,10,3
58,7,6
59,7,5
60,6,4
61,8,0
62,12,3
63,16,3
64,13,1
65,8,2
66,17,2
67,11,1
68,15,5
69,18,1
70,6,5
71,5,3
72,9,4
73,20,0
74,11,4
75,14,1
76,16,2
77,13,0
78,17,1
79,14,2
80,12,1
81,24,0
82,12,0
83,11,5
84,12,1
85,8,0
86,10,5
87,10,2
88,11,5
89,14,1
90,17,2
91,12,4
92,9,2
93,8,3
94,9,4
95,14,3
96,19,7
97,10,1
98,11,3
99,14,1
100,10,5
101,13,4
102,9,1
103,17,0
104,17,1
105,13,6
106,14,0
107,12,2
108,11,1
109,12,1
110,11,3
111,12,1
112,15,1
113,13,0
114,16,5
115,16,2
116,12,5
117,8,3
118,15,1
119,11,5
120,13,3
121,14,3
122,17,3
123,17,2
124,11,0
125,15,1
126,14,0
127,10,0
128,10,2
129,12,3
130,9,3
131,12,2
132,7,2
133,15,2
134,17,0
135,17,0
136,10,0
137,17,2
138,16,2
139,13,2
140,15,0
141,10,1
142,14,3
143,6,1
144,15,1
145,17,2
146,5,7
147,11,3
148,11,2
149,10,4
150,12,1
151,8,5
152,11,1
153,13,5
154,8,3
155,16,3
156,12,1
157,12,2
158,16,1
159,15,1
160,9,2
161,11,3
162,11,3
163,11,0
164,18,2
165,9,1
166,15,2
167,18,3
168,15,3
169,10,4
170,14,0
171,12,1
172,12,4
173,10,3
174,18,0
175,6,4
176,9,1
177,10,2
178,12,4
179,9,1
180,14,3
181,11,0
182,15,5
183,8,1
184,11,3
185,11,3
186,12,1
187,15,1
188,11,2
189,4,3
190,14,4
191,11,4
192,9,2
193,16,1
194,8,1
195,12,1
196,17,1
197,14,1
198,16,0
199,15,1
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,15,3
1,15,3
2,13,5
3,20,0
4,15,2
5,12,2
6,14,3
7,8,5
8,18,0
9,14,2
10,9,4
11,12,2
12,13,1
13,13,1
14,15,0
15,8,3
16,11,3
17,13,5
18,16,1
19,6,2
20,11,1
21,11,2
22,16,4
23,11,0
24,11,3
25,9,2
26,12,0
27,9,1
28,18,3
29,9,3
30,17,2
31,10,2
32,10,4
33,22,0
34,8,1
35,15,3
36,14,1
37,10,4
38,15,5
39,11,4
40,8,3
41,11,4
42,11,0
43,15,2
44,14,4
45,10,1
46,13,2
47,9,3
48,15,4
49,14,2
50,20,0
51,12,5
52,9,1
53,19,2
54,14,3
55,15,3
56,9,2
57,10,3
58,7,6
59,7,5
60,6,4
61,8,0
62,12,3
63,16,3
64,13,1
65,8,2
66,17,2
67,11,1
68,15,5
69,18,1
70,6,5
71,5,3
72,9,4
73,20,0
74,11,4
75,14,1
76,16,2
77,13,0
78,17,1
79,14,2
80,12,1
81,24,0
82,12,0
83,11,5
84,12,1
85,8,0
86,10,5
87,10,2
88,11,5
89,14,1
90,17,2
91,12,4
92,9,2
93,8,3
94,9,4
95,14,3
96,19,7
97,10,1
98,11,3
99,14,1
100,10,5
101,13,4
102,9,1
103,17,0
104,17,1
105,13,6
106,14,0
107,12,2
108,11,1
109,12,1
110,11,3
111,12,1
112,15,1
113,13,0
114,16,5
115,16,2
116,12,5
117,8,3
118,15,1
119,11,5
120,13,3
121,14,3
122,17,3
123,17,2
124,11,0
125,15,1
126,14,0
127,10,0
128,10,2
129,12,3
130,9,3
131,12,2
132,7,2
133,15,2
134,17,0
135,17,0
136,10,0
137,17,2
138,16,2
139,13,2
140,15,0
141,10,1
142,14,3
143,6,1
144,15,1
145,17,2
146,5,7
147,11,3
148,11,2
149,10,4
150,12,1
151,8,5
152,11,1
153,13,5
154,8,3
155,16,3
156,12,1
157,12,2
158,16,1
159,15,1
160,9,2
161,11,3
162,11,3
163,11,0
164,18,2
165,9,1
166,15,2
167,18,3
168,15,3
169,10,4
170,14,0
171,12,1
172,12,4
173,10,3
174,18,0
175,6,4
176,9,1
177,10,2
178,12,4
179,9,1
180,14,3
181,11,0
182,15,5
183,8,1
184,11,3
185,11,3
186,12,1
187,15,1
188,11,2
189,4,3
190,14,4
191,11,4
192,9,2
193,16,1
194,8,1
195,12,1
196,17,1
197,14,1
198,16,0
199,15,1

Cluster contribution to imbalance analysis (cluster-cluster matrix):
