Global time spent: 5.26256
I(P) = 30226
Clustering configuration: 
 Partition 0 (181): [ 3 8 12 13 14 16 21 22 28 29 32 36 37 44 45 46 48 49 51 52 54 58 61 63 67 69 74 75 80 82 83 87 88 97 98 103 108 109 118 132 133 135 136 140 143 146 153 157 163 165 167 171 174 175 178 179 180 187 193 196 197 203 204 206 212 214 216 219 223 224 227 228 229 230 231 232 234 236 238 245 246 252 253 261 275 277 283 284 286 291 294 299 310 316 318 319 324 328 332 340 343 347 349 353 359 360 365 366 372 375 378 383 390 403 404 406 410 417 420 422 424 425 437 440 441 443 445 446 454 461 463 466 467 470 471 474 475 479 481 485 486 488 493 498 503 504 509 510 513 515 521 523 528 529 533 534 535 537 539 540 543 546 547 551 557 559 560 566 567 568 569 571 573 575 576 588 589 591 595 598 599 ] 
 Partition 1 (191): [ 0 2 4 6 10 17 19 20 23 25 30 31 35 39 40 41 43 47 50 53 56 59 62 65 66 72 76 79 81 92 93 94 101 102 104 107 111 114 115 116 119 120 121 122 123 124 130 131 134 137 139 142 145 147 150 155 158 160 161 164 166 169 172 173 176 177 181 182 183 184 185 189 190 191 194 198 199 211 215 218 221 222 233 235 239 241 242 243 247 249 250 251 256 263 264 268 274 276 278 285 289 290 293 295 300 301 303 305 307 309 314 317 322 323 326 327 329 330 331 335 337 341 344 348 350 352 355 356 358 377 380 386 388 389 392 394 395 397 401 402 405 407 409 411 416 423 426 427 429 439 442 449 450 453 457 462 465 476 477 478 482 483 489 490 494 499 500 508 511 514 516 519 520 522 527 542 545 550 552 553 562 563 565 572 579 581 586 587 590 592 594 ] 
 Partition 2 (134): [ 5 9 11 24 27 34 38 57 60 64 71 89 96 100 105 112 117 125 126 127 129 138 148 149 151 152 154 156 162 170 186 192 202 205 208 210 213 225 237 244 248 257 258 259 260 262 265 269 271 272 273 279 282 287 288 296 297 302 304 306 311 313 315 320 333 339 342 345 346 351 354 367 368 369 370 371 376 379 385 396 398 400 408 413 414 418 419 421 428 430 431 432 433 434 435 436 438 444 447 448 451 455 459 469 472 487 492 496 501 502 506 507 512 517 524 525 526 531 532 541 548 549 555 556 561 574 578 580 582 583 585 593 596 597 ] 
 Partition 3 (48): [ 7 15 33 42 68 70 77 78 86 91 106 113 141 159 168 201 209 217 220 226 254 255 270 280 312 321 334 338 362 364 381 384 391 399 412 415 452 458 473 480 495 497 505 544 558 564 577 584 ] 
 Partition 4 (39): [ 1 18 26 55 73 85 90 95 99 128 188 195 207 266 267 292 298 308 336 357 361 363 373 374 382 387 393 456 460 464 468 484 491 518 530 536 538 554 570 ] 
 Partition 5 (7): [ 84 110 144 200 240 281 325 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,44,10
1,44,2
2,37,12
3,31,15
4,39,17
5,50,8
6,42,17
7,47,1
8,28,17
9,42,9
10,30,10
11,34,6
12,35,13
13,44,7
14,37,11
15,34,2
16,30,11
17,35,12
18,53,2
19,31,12
20,38,14
21,34,10
22,34,12
23,39,15
24,43,6
25,27,14
26,53,1
27,50,10
28,42,15
29,38,14
30,52,9
31,37,13
32,32,12
33,42,2
34,39,10
35,37,18
36,42,13
37,34,14
38,45,10
39,33,15
40,41,12
41,33,11
42,46,2
43,44,12
44,26,12
45,38,13
46,38,10
47,32,10
48,38,13
49,40,12
50,37,12
51,26,10
52,37,12
53,37,12
54,36,17
55,59,2
56,40,13
57,50,10
58,43,12
59,31,13
60,41,12
61,32,12
62,33,14
63,33,13
64,42,11
65,40,12
66,36,14
67,37,10
68,46,1
69,34,13
70,43,1
71,42,9
72,33,14
73,46,2
74,35,12
75,35,15
76,38,13
77,46,4
78,42,4
79,46,15
80,32,9
81,37,11
82,37,9
83,45,6
84,46,0
85,47,0
86,40,3
87,29,12
88,41,16
89,44,11
90,53,0
91,49,3
92,31,16
93,39,14
94,30,14
95,57,2
96,52,10
97,42,13
98,45,19
99,45,4
100,47,8
101,41,12
102,41,15
103,46,14
104,34,9
105,42,8
106,40,1
107,43,14
108,39,9
109,40,7
110,44,0
111,45,13
112,41,9
113,42,2
114,36,9
115,36,15
116,43,13
117,42,9
118,41,12
119,38,11
120,33,15
121,34,19
122,40,11
123,32,11
124,47,13
125,38,12
126,44,11
127,37,14
128,49,0
129,30,6
130,36,17
131,44,12
132,42,11
133,34,17
134,41,14
135,34,15
136,45,12
137,42,11
138,47,6
139,30,9
140,49,14
141,50,2
142,23,16
143,32,16
144,44,0
145,28,11
146,42,17
147,24,9
148,36,6
149,47,8
150,42,18
151,36,11
152,36,7
153,42,13
154,48,6
155,28,19
156,35,8
157,45,15
158,46,19
159,57,4
160,34,18
161,27,12
162,41,10
163,34,11
164,28,20
165,27,11
166,36,18
167,46,12
168,43,1
169,36,17
170,48,13
171,43,15
172,27,13
173,40,13
174,41,13
175,36,17
176,39,18
177,31,17
178,45,14
179,41,9
180,40,17
181,38,15
182,35,10
183,48,13
184,31,15
185,39,17
186,41,8
187,35,13
188,39,0
189,26,15
190,33,17
191,38,15
192,46,5
193,38,11
194,43,13
195,46,2
196,49,12
197,38,12
198,36,20
199,29,17
200,57,0
201,45,2
202,41,8
203,36,9
204,44,8
205,41,12
206,39,11
207,59,4
208,37,13
209,48,2
210,44,9
211,34,8
212,32,12
213,44,11
214,36,10
215,38,16
216,33,10
217,41,1
218,25,13
219,38,8
220,55,2
221,36,8
222,39,15
223,36,11
224,48,14
225,42,8
226,47,3
227,40,12
