Global time spent: 1.33871
I(P) = 81
Clustering configuration: 
 Partition 0 (3): [ 6 13 16 ] 
 Partition 1 (10): [ 0 1 3 4 5 7 10 11 12 15 ] 
 Partition 2 (2): [ 8 9 ] 
 Partition 3 (2): [ 2 14 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,3,1
1,3,1
2,11,0
3,0,2
4,0,5
5,2,4
6,5,0
7,0,0
8,8,0
9,8,0
10,1,0
11,0,1
12,4,6
13,4,0
14,8,0
15,0,0
16,4,0
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,3,2
1,11,0
2,3,0
3,0,0
4,5,0
5,3,4
6,10,0
7,0,0
8,8,0
9,2,0
10,2,7
11,7,6
12,5,0
13,1,0
14,0,0
15,1,1
16,0,0

